lr,reg,loss_fn,operator,comparator,loss,pos_rank,mrr,r1,r10,r50,auc,count
0.01,0.1,ranking,translation,dot,76.2284,174.093,0.164594,0.120432,0.240033,0.251661,0.67608,602
0.01,0.1,ranking,translation,l2,73.3096,174.413,0.257441,0.22093,0.319767,0.416113,0.63289,602
0.01,0.1,ranking,diagonal,dot,88.0933,199.145,0.108908,0.0714286,0.172757,0.217608,0.623754,602
0.01,0.1,ranking,diagonal,l2,94.0952,273.909,0.211273,0.181894,0.255814,0.281561,0.483389,602
0.01,0.1,softmax,translation,dot,12.1265,156.404,0.173771,0.130399,0.244186,0.261628,0.657807,602
0.01,0.1,softmax,translation,l2,11.6681,245.132,0.213844,0.186047,0.266611,0.314784,0.519103,602
0.01,0.1,softmax,diagonal,dot,11.6027,194.126,0.0890803,0.057309,0.140365,0.158638,0.611296,602
0.01,0.1,softmax,diagonal,l2,11.7823,277.939,0.205968,0.177741,0.249169,0.269103,0.45515,602
0.01,0.001,ranking,translation,dot,77.0143,179.372,0.171021,0.127907,0.246678,0.25,0.653654,602
0.01,0.001,ranking,translation,l2,75.1965,187.369,0.265549,0.228405,0.328904,0.418605,0.601329,602
0.01,0.001,ranking,diagonal,dot,88.2253,195.409,0.106301,0.0714286,0.171927,0.260797,0.603821,602
0.01,0.001,ranking,diagonal,l2,94.9031,273.736,0.20151,0.171096,0.256645,0.2799,0.502492,602
0.01,0.001,softmax,translation,dot,89.2678,195.834,0.0852326,0.0498339,0.148671,0.239203,0.595515,602
0.01,0.001,softmax,translation,l2,12.1493,157.173,0.179017,0.138704,0.245847,0.255814,0.686047,602
0.01,0.001,softmax,diagonal,dot,11.6869,244.676,0.220907,0.194352,0.261628,0.293189,0.519934,602
0.01,0.001,softmax,diagonal,l2,11.6328,199.706,0.0917088,0.0656146,0.134551,0.144518,0.634552,602
0.01,1e-05,ranking,translation,dot,11.7208,275.548,0.213699,0.188538,0.251661,0.268272,0.47093,602
0.01,1e-05,ranking,translation,l2,83.4473,158.787,0.150614,0.102159,0.240864,0.252492,0.672757,602
0.01,1e-05,ranking,diagonal,dot,79.849,239.929,0.218395,0.187708,0.262458,0.304817,0.536545,602
0.01,1e-05,ranking,diagonal,l2,81.1424,255.321,0.205397,0.172757,0.252492,0.278239,0.500831,602
0.01,1e-05,softmax,translation,dot,12.4086,154.281,0.148914,0.0988372,0.241694,0.293189,0.69186,602
0.01,1e-05,softmax,translation,l2,12.4204,274.706,0.210864,0.188538,0.246678,0.266611,0.472591,602
0.01,1e-05,softmax,diagonal,dot,94.1119,280.688,0.217646,0.194352,0.254153,0.270764,0.45515,602
0.01,1e-05,softmax,diagonal,l2,12.4816,173.366,0.0878326,0.0548173,0.137874,0.196013,0.656977,602
0.001,0.1,ranking,translation,dot,12.4259,286.97,0.200393,0.17691,0.233389,0.265781,0.48505,602
0.001,0.1,ranking,translation,l2,82.8705,157.528,0.160247,0.116279,0.233389,0.256645,0.670266,602
0.001,0.1,ranking,diagonal,dot,79.3179,229.212,0.219198,0.19103,0.254983,0.297342,0.563123,602
0.001,0.1,ranking,diagonal,l2,91.4257,172.076,0.0971413,0.0639535,0.140365,0.180233,0.660299,602
