lr,reg,loss_fn,operator,comparator,loss,pos_rank,mrr,r1,r10,r50,auc,count
0.01,0.1,ranking,translation,dot,74.2965,170.183,0.17901466666666666,0.13021233333333335,0.258745,0.2756126666666667,0.6845223333333333,604.0
0.01,0.1,ranking,translation,l2,71.22746666666666,172.45400000000004,0.2745106666666666,0.230392,0.3485563333333334,0.44650033333333333,0.6484676666666667,604.0
0.01,0.1,ranking,diagonal,dot,86.8551,189.02366666666668,0.121637,0.07888236666666666,0.19423433333333331,0.25286400000000003,0.6313563333333333,604.0
0.01,0.1,ranking,diagonal,l2,91.82336666666667,266.16266666666667,0.22622566666666666,0.19545833333333332,0.272407,0.29804766666666666,0.49487300000000006,604.0
0.01,0.1,softmax,translation,dot,12.000033333333334,154.04266666666666,0.18347166666666667,0.13739633333333331,0.262338,0.278093,0.6861406666666667,604.0
0.01,0.1,softmax,translation,l2,11.602566666666668,238.64033333333336,0.22883033333333336,0.19814966666666667,0.2754643333333333,0.32623033333333334,0.529519,604.0
0.01,0.1,softmax,diagonal,dot,11.512666666666666,188.836,0.10298176666666665,0.06873413333333334,0.15559066666666665,0.17602133333333336,0.6355643333333333,604.0
0.01,0.1,softmax,diagonal,l2,11.7111,278.82200000000006,0.21679366666666666,0.188268,0.26023766666666664,0.279596,0.4769396666666667,604.0
0.01,0.001,ranking,translation,dot,74.6986,173.11299999999997,0.180042,0.13243066666666667,0.2593433333333333,0.27394366666666664,0.661118,604.0
0.01,0.001,ranking,translation,l2,72.39546666666666,179.30033333333336,0.28404633333333335,0.23856666666666668,0.35462533333333335,0.44239933333333337,0.6236353333333333,604.0
0.01,0.001,ranking,diagonal,dot,86.57526666666666,187.77066666666667,0.11699766666666667,0.0726392,0.1958426666666667,0.28337133333333336,0.6318883333333334,604.0
0.01,0.001,ranking,diagonal,l2,93.46136666666666,271.08233333333334,0.22800600000000001,0.200848,0.26962366666666665,0.292553,0.5066956666666668,604.0
0.01,0.001,softmax,translation,dot,87.89229999999999,192.995,0.11236953333333333,0.0722215,0.18235766666666667,0.272075,0.6258456666666666,604.0
0.01,0.001,softmax,translation,l2,12.055000000000001,154.83,0.18092699999999998,0.134026,0.26070566666666667,0.27860033333333334,0.686178,604.0
0.01,0.001,softmax,diagonal,dot,11.589833333333333,237.56133333333332,0.2281753333333333,0.1973933333333333,0.27318366666666666,0.31456033333333333,0.5447913333333334,604.0
0.01,0.001,softmax,diagonal,l2,11.5538,193.91899999999998,0.09708256666666666,0.0656329,0.14706333333333332,0.166365,0.641162,604.0
0.01,1e-05,ranking,translation,dot,11.634133333333333,267.239,0.22311499999999998,0.19377933333333333,0.2666146666666667,0.2815006666666667,0.49013700000000004,604.0
0.01,1e-05,ranking,translation,l2,81.82646666666666,152.242,0.16265566666666667,0.10872966666666667,0.25907199999999997,0.278094,0.6854136666666667,604.0
