lr,reg,loss_fn,operator,comparator,loss,pos_rank,mrr,r1,r10,r50,auc,count
0.01,0.1,ranking,translation,dot,75.7503,173.939,0.173112,0.121061,0.257048,0.270315,0.677446,603
0.01,0.1,ranking,translation,l2,90.2224,212.167,0.12766,0.0804312,0.207297,0.332504,0.589552,603
0.01,0.1,ranking,diagonal,dot,102.631,254.004,0.0190789,0.0066335,0.0273632,0.066335,0.505804,603
0.01,0.1,ranking,diagonal,l2,126.816,346.682,0.0148619,0.00414594,0.0273632,0.0746269,0.360697,603
0.01,0.1,softmax,translation,dot,12.6904,156.041,0.172503,0.114428,0.262023,0.269486,0.711443,603
0.01,0.1,softmax,translation,l2,12.8176,345.957,0.0154541,0.00580431,0.026534,0.0597015,0.358209,603
0.01,0.1,softmax,diagonal,dot,13.3432,252.454,0.0179141,0.00746269,0.0257048,0.0489221,0.513267,603
0.01,0.1,softmax,diagonal,l2,12.8229,388.751,0.00800043,0.00331675,0.00912106,0.0207297,0.296849,603
0.01,0.001,ranking,translation,dot,76.3648,177.899,0.171581,0.117745,0.257877,0.272803,0.650083,603
0.01,0.001,ranking,translation,l2,87.9834,200.116,0.128966,0.0820896,0.208955,0.344942,0.598673,603
0.01,0.001,ranking,diagonal,dot,103.162,252.062,0.0211656,0.00829187,0.0339967,0.0655058,0.511609,603
0.01,0.001,ranking,diagonal,l2,125.825,344.872,0.0130231,0.00331675,0.0199005,0.0746269,0.397181,603
0.01,0.001,softmax,translation,dot,104.08,265.036,0.0147762,0.00497512,0.0190713,0.0538972,0.490879,603
0.01,0.001,softmax,translation,l2,12.695,148.473,0.17848,0.124378,0.260365,0.268657,0.732172,603
0.01,0.001,softmax,diagonal,dot,12.8449,354.272,0.0115188,0.00497512,0.0124378,0.0472637,0.334163,603
0.01,0.001,softmax,diagonal,l2,13.4336,250.735,0.0223801,0.0107794,0.0306799,0.0555556,0.512438,603
0.01,1e-05,ranking,translation,dot,12.731,355.201,0.0120909,0.00580431,0.013267,0.0431177,0.333333,603
0.01,1e-05,ranking,translation,l2,82.5789,159.017,0.175441,0.119403,0.263682,0.270315,0.716418,603
0.01,1e-05,ranking,diagonal,dot,105.302,303.842,0.0160443,0.00580431,0.0190713,0.0862355,0.450249,603
0.01,1e-05,ranking,diagonal,l2,105.853,318.503,0.0116931,0.00165837,0.0199005,0.0671642,0.40796,603
0.01,1e-05,softmax,translation,dot,12.408,161.425,0.16836,0.107794,0.263682,0.277778,0.709784,603
0.01,1e-05,softmax,translation,l2,12.5387,385.11,0.00919525,0.00414594,0.00995025,0.0199005,0.295191,603
0.01,1e-05,softmax,diagonal,dot,123.688,337.611,0.0218659,0.00829187,0.0406302,0.105307,0.349917,603
0.01,1e-05,softmax,diagonal,l2,12.5054,247.492,0.0105374,0.00248756,0.00995025,0.0422886,0.504975,603
0.001,0.1,ranking,translation,dot,12.5322,385.38,0.00964298,0.00497512,0.00829187,0.0248756,0.287728,603
0.001,0.1,ranking,translation,l2,82.6998,154.328,0.173523,0.116915,0.264511,0.281924,0.686567,603
0.001,0.1,ranking,diagonal,dot,105.637,308.562,0.0118195,0.00331675,0.0140962,0.0688226,0.420398,603
0.001,0.1,ranking,diagonal,l2,103.743,258.981,0.0126885,0.00497512,0.013267,0.0290216,0.493367,603
0.001,0.1,softmax,translation,dot,105.873,317.213,0.0105348,0.00165837,0.0116086,0.0580431,0.385572,603
0.001,0.1,softmax,translation,l2,12.4083,156.924,0.167646,0.107794,0.260365,0.281095,0.723051,603
0.001,0.1,softmax,diagonal,dot,12.5403,387.514,0.0102399,0.00580431,0.0107794,0.0190713,0.298507,603
0.001,0.1,softmax,diagonal,l2,12.5049,240.951,0.0152673,0.00497512,0.0182421,0.0439469,0.513267,603
0.001,0.001,ranking,translation,dot,12.5322,382.017,0.00763603,0.00165837,0.00912106,0.0323383,0.311774,603
0.001,0.001,ranking,translation,l2,11.8382,123.425,0.173964,0.120232,0.256219,0.272803,0.756219,603
0.001,0.001,ranking,diagonal,dot,82.7705,159.306,0.175688,0.12272,0.26534,0.271973,0.722222,603
