lr,reg,loss_fn,operator,comparator,loss,pos_rank,mrr,r1,r10,r50,auc,count
0.01,0.1,ranking,translation,dot,77.16813333333333,179.95066666666665,0.16027566666666668,0.10574896666666667,0.2547723333333333,0.26529866666666674,0.6675506666666667,602.0
0.01,0.1,ranking,translation,l2,91.59429999999999,217.79966666666667,0.11531200000000001,0.06919373333333333,0.19659866666666667,0.324081,0.5877393333333333,602.0
0.01,0.1,ranking,diagonal,dot,103.52766666666666,258.52799999999996,0.020057199999999997,0.00885532,0.0304634,0.0631059,0.501332,602.0
0.01,0.1,ranking,diagonal,l2,124.96666666666665,341.2323333333333,0.018643733333333332,0.006931453333333334,0.0345823,0.09018789999999999,0.3602323333333333,602.0
0.01,0.1,softmax,translation,dot,12.731933333333336,157.05866666666665,0.16639866666666667,0.11023033333333332,0.255561,0.264468,0.706083,602.0
0.01,0.1,softmax,translation,l2,12.812733333333334,341.82333333333327,0.0171136,0.006957626666666667,0.026882166666666665,0.07691289999999999,0.36114566666666664,602.0
0.01,0.1,softmax,diagonal,dot,13.2964,244.37566666666666,0.0240583,0.012169796666666668,0.0365271,0.06084553333333333,0.5259763333333334,602.0
0.01,0.1,softmax,diagonal,l2,12.820533333333335,386.1166666666666,0.009837623333333333,0.004718616666666667,0.01027334,0.028286766666666668,0.300124,602.0
0.01,0.001,ranking,translation,dot,77.29163333333334,181.79133333333334,0.165569,0.11438799999999999,0.25584233333333334,0.26639466666666667,0.6602833333333333,602.0
0.01,0.001,ranking,translation,l2,89.83993333333335,210.67166666666665,0.12241066666666667,0.07478323333333332,0.20411066666666666,0.3337003333333333,0.5826246666666667,602.0
0.01,0.001,ranking,diagonal,dot,103.37733333333334,254.22466666666665,0.021415299999999998,0.00942885,0.0329413,0.0625904,0.505813,602.0
0.01,0.001,ranking,diagonal,l2,124.65166666666666,343.464,0.0153419,0.005286693333333333,0.02385,0.07531293333333333,0.381466,602.0
0.01,0.001,softmax,translation,dot,103.26433333333334,255.6163333333333,0.018917466666666664,0.008323266666666667,0.024900500000000002,0.06201183333333333,0.494223,602.0
0.01,0.001,softmax,translation,l2,12.767233333333332,155.74166666666667,0.1668913333333333,0.11271933333333334,0.25475566666666666,0.26500566666666664,0.7101523333333333,602.0
0.01,0.001,softmax,diagonal,dot,12.8125,344.71233333333333,0.017072566666666667,0.00805652,0.022703133333333333,0.06337916666666667,0.3487656666666667,602.0
0.01,0.001,softmax,diagonal,l2,13.396299999999998,245.982,0.021926433333333332,0.010271846666666667,0.03295803333333334,0.06419283333333332,0.5269506666666667,602.0
0.01,1e-05,ranking,translation,dot,12.726766666666668,352.788,0.012412066666666667,0.0058352966666666665,0.013865433333333335,0.04463826666666667,0.35273233333333326,602.0
0.01,1e-05,ranking,translation,l2,83.47456666666666,157.577,0.16324566666666668,0.10888533333333333,0.256114,0.26666000000000006,0.7035326666666667,602.0
0.01,1e-05,ranking,diagonal,dot,105.14033333333333,299.31166666666667,0.016829800000000002,0.0072312999999999995,0.018290866666666666,0.08610723333333332,0.4461566666666667,602.0
0.01,1e-05,ranking,diagonal,l2,105.25233333333334,299.243,0.0128795,0.004158913333333333,0.01749334,0.05386596666666666,0.41924066666666665,602.0
0.01,1e-05,softmax,translation,dot,43.70513333333333,210.85233333333335,0.11583313333333334,0.07293369666666667,0.17866480000000004,0.2082221333333333,0.6187619999999999,602.0
0.01,1e-05,softmax,translation,l2,12.498233333333333,313.31266666666664,0.05719025,0.03566018333333334,0.08990775,0.10731326666666667,0.42413100000000004,602.0
0.01,1e-05,softmax,diagonal,dot,87.27123333333333,357.05600000000004,0.018561673333333334,0.007786813333333333,0.030891210000000002,0.07426643333333334,0.32803866666666665,602.0
