lr     ,reg   ,loss_fn ,operator    ,comparator ,loss                  ,pos_rank           ,mrr                   ,r1                     ,r10                    ,r50                   ,auc                   ,count
0.01   ,0.1   ,ranking ,translation ,dot        ,1.4497998812096666    ,6.275798612306024  ,0.010013173067958465  ,0.010831968735286409   ,0.00684663636799527    ,0.008230059551559902  ,0.009261316585069807  ,6.164414002968976
0.01   ,0.1   ,ranking ,translation ,l2         ,1.616287810591505     ,8.124700172245666  ,0.008821662428363488  ,0.00801510016461983    ,0.008549483974031546   ,0.017533761775500437  ,0.0025204872985639436 ,6.164414002968976
0.01   ,0.1   ,ranking ,diagonal    ,dot        ,0.6372295940675976    ,3.7552818802321712 ,0.0007194402314762961 ,0.001673752204917642   ,0.002290899251385795   ,0.0026836563130674313 ,0.00571477546948844   ,6.164414002968976
0.01   ,0.1   ,ranking ,diagonal    ,l2         ,1.4405150313535613    ,3.876061775680179  ,0.002683717526533338  ,0.0021124443819318783  ,0.005923361748759453   ,0.01350242195336328   ,0.004356170821056282  ,6.164414002968976
0.01   ,0.1   ,softmax ,translation ,dot        ,0.08769341797167834   ,4.458956853595043  ,0.007241681495957196  ,0.005386082332167687   ,0.005416390372440556   ,0.008222832764118872  ,0.011214708467008875  ,6.164414002968976
0.01   ,0.1   ,softmax ,translation ,l2         ,0.008114322043290417  ,3.8434006065231134 ,0.0030753477407712234 ,0.003564821832521539   ,0.002662367440622892   ,0.013842452184493903  ,0.015116222022126497  ,6.164414002968976
0.01   ,0.1   ,softmax ,diagonal    ,dot        ,0.09106001683871238   ,5.827022815202369  ,0.004948385355514126  ,0.0036711885978098283  ,0.008090964014668875   ,0.011038632960149043  ,0.010684675921877817  ,6.164414002968976
0.01   ,0.1   ,softmax ,diagonal    ,l2         ,0.014994739818423846  ,2.455527687121903  ,0.001983955358777566  ,0.0014609877263763113  ,0.0029404791447653557  ,0.006710675243884843  ,0.002536836744188866  ,6.164414002968976
0.01   ,0.001 ,ranking ,translation ,dot        ,1.018996873836661     ,3.7840255754362424 ,0.007149345331333965  ,0.0054272517907316626  ,0.0032674710234199254  ,0.007851858138187576  ,0.007597966847928639  ,6.164414002968976
0.01   ,0.001 ,ranking ,translation ,l2         ,1.8095823041673311    ,8.549975841421348  ,0.00735379087425133   ,0.006400597076488686   ,0.007922727827094793   ,0.012609030053453329  ,0.017495312216578348  ,6.164414002968976
0.01   ,0.001 ,ranking ,diagonal    ,dot        ,0.945595168252367     ,6.957672711155343  ,0.0016099222734861048 ,0.0016660299128767168  ,0.0008237379356729082  ,0.003102959880501199  ,0.0041149739569852194 ,6.164414002968976
0.01   ,0.001 ,ranking ,diagonal    ,l2         ,0.8331395774752032    ,2.301971908313971  ,0.003020672716465656  ,0.002809060511562936   ,0.004600987991725255   ,0.0009102712135524326 ,0.011422457441374     ,6.164414002968976
0.01   ,0.001 ,softmax ,translation ,dot        ,0.7198334683954514    ,6.724589025030124  ,0.00316891598324867   ,0.0027810675937768132  ,0.004622524435846717   ,0.005828599003953598  ,0.004101851370621154  ,6.164414002968976
0.01   ,0.001 ,softmax ,translation ,l2         ,0.11248941678615311   ,7.919376125820904  ,0.010381783576159837  ,0.009550302136000142   ,0.006604067147515146   ,0.00628795994120686   ,0.01600950909789417   ,6.164414002968976
0.01   ,0.001 ,softmax ,diagonal    ,dot        ,0.023632322498364354  ,6.809772895544227  ,0.004256757675612848  ,0.0032961184360193532  ,0.007295772354513872   ,0.011876165757609743  ,0.013218165640091253  ,6.164414002968976
0.01   ,0.001 ,softmax ,diagonal    ,l2         ,0.05445603731451634   ,7.633735957358403  ,0.0024607724658913285 ,0.002839627298846727   ,0.0019097922353549946  ,0.007523180345365177  ,0.021589763258441644  ,6.164414002968976
0.01   ,1e-05 ,ranking ,translation ,dot        ,0.025447243902281744  ,7.188517835177624  ,0.0020027603822946193 ,0.002095832640985969   ,0.002221014927660075   ,0.006323379913903288  ,0.013720601768468054  ,6.164414002968976
0.01   ,1e-05 ,ranking ,translation ,l2         ,0.7136724240776614    ,6.342349144178889  ,0.012637875384028063  ,0.01156780118355352    ,0.0060906382807277976  ,0.0056922169670524814 ,0.010591470068985816  ,6.164414002968976
0.01   ,1e-05 ,ranking ,diagonal    ,dot        ,0.2098290309328636    ,4.964159568569708  ,0.00267209268926061   ,0.0032934844599704226  ,0.001958403935748587   ,0.0005442126381806595 ,0.013109292743020962  ,6.164414002968976
0.01   ,1e-05 ,ranking ,diagonal    ,l2         ,0.8729094391108875    ,30.97871079736318  ,0.0017933775229995498 ,0.0018116105499496543  ,0.005524957659011213   ,0.018931058218411585  ,0.04792565745911983   ,6.164414002968976
0.01   ,1e-05 ,softmax ,translation ,dot        ,44.257012101687216    ,71.21366921377445  ,0.0728450654666159    ,0.04867053686270598    ,0.1147681867171677     ,0.10256133425566491   ,0.13217740449360724   ,6.164414002968976
0.01   ,1e-05 ,softmax ,translation ,l2         ,0.05687532173291191   ,102.75964476821089 ,0.06468990773329072   ,0.04158399547659679    ,0.11059888033471073    ,0.1169249796150316    ,0.19722491188150312   ,6.164414002968976
0.01   ,1e-05 ,softmax ,diagonal    ,dot        ,52.84386360883247     ,23.67492962326745  ,0.008283650146810616  ,0.0034886137861748017  ,0.017929393772746473   ,0.042651132603666646  ,0.02993376813715386   ,6.164414002968976
0.01   ,1e-05 ,softmax ,diagonal    ,l2         ,53.190222019298076    ,48.0790378601273   ,0.004554640480750252  ,0.0027478410190911696  ,0.011567605290229934   ,0.03413583982161075   ,0.07964759800939804   ,6.164414002968976
0.001  ,0.1   ,ranking ,translation ,dot        ,0.010139800567839046  ,65.85101416581728  ,0.0030767611909062204 ,0.0014428036655607561  ,0.005226574252709788   ,0.008079698328664394  ,0.10119137729075534   ,6.164414002968976
0.001  ,0.1   ,ranking ,translation ,l2         ,33.173510928550606    ,110.96968139791856 ,0.07603950295442202   ,0.05131773655700034    ,0.11846783950744925    ,0.12264596336027081   ,0.19719380046092277   ,6.164414002968976
0.001  ,0.1   ,ranking ,diagonal    ,dot        ,9.690888222219646     ,67.10679548798815  ,0.06480608632725444   ,0.04682044008875255    ,0.10484029408784898    ,0.0849876893024448    ,0.12698010335044183   ,6.164414002968976
0.001  ,0.1   ,ranking ,diagonal    ,l2         ,1.1743222158618434    ,24.615615806953826 ,0.0020806625889098138 ,0.0028058039368542248  ,0.001593265295618474   ,0.026048559448460868  ,0.03134330376119702   ,6.164414002968976
0.001  ,0.1   ,softmax ,translation ,dot        ,0.6580447468743208    ,28.68472920484968  ,0.0026576754960344995 ,0.002496152772172052   ,0.004775822057917244   ,0.02133217827477229   ,0.04768653651363942   ,6.164414002968976
0.001  ,0.1   ,softmax ,translation ,l2         ,44.44533821591042     ,78.13759100600826  ,0.07334106431553578   ,0.04893968001439142    ,0.11551521749727273    ,0.10955388224634792   ,0.155490374626713     ,6.164414002968976
0.001  ,0.1   ,softmax ,diagonal    ,dot        ,0.057343778118370305  ,105.73894956395628 ,0.06588530900238687   ,0.04446366837341121    ,0.11001764723959315    ,0.1145885677530122    ,0.19368995070989095   ,6.164414002968976
0.001  ,0.1   ,softmax ,diagonal    ,l2         ,0.019397995314522225  ,69.23714000608504  ,0.0035009307264878393 ,0.0022528075355332856  ,0.004774845564590429   ,0.009924820327620824  ,0.12097481645367356   ,6.164414002968976
0.001  ,0.001 ,ranking ,translation ,dot        ,0.009505203253423094  ,63.12509591279842  ,0.002735671214321389  ,0.0021162626360638702  ,0.004054560684891357   ,0.0021380455436371478 ,0.08263655939514099   ,6.164414002968976
