lr,reg,loss_fn,operator,comparator,loss,pos_rank,mrr,r1,r10,r50,auc,count
0.01,0.1,ranking,translation,dot,75.6725,175.808,0.143387,0.0890183,0.252912,0.290349,0.685524,601
0.01,0.1,ranking,translation,l2,84.9077,199.32,0.123403,0.0732113,0.219634,0.331115,0.62396,601
0.01,0.1,ranking,diagonal,dot,97.4719,241.767,0.0563733,0.0357737,0.0881864,0.112313,0.539933,601
0.01,0.1,ranking,diagonal,l2,116.125,325.465,0.0484876,0.0216306,0.106489,0.148087,0.418469,601
0.01,0.1,softmax,translation,dot,12.2962,153.121,0.142986,0.0798669,0.277038,0.297005,0.723794,601
0.01,0.1,softmax,translation,l2,12.5261,317.009,0.0582078,0.0399334,0.0823627,0.138103,0.445923,601
0.01,0.1,softmax,diagonal,dot,12.6816,224.328,0.0580729,0.0341098,0.0973378,0.127288,0.59817,601
0.01,0.1,softmax,diagonal,l2,12.6176,359.518,0.0361394,0.0183028,0.0615641,0.0948419,0.336106,601
0.01,0.001,ranking,translation,dot,75.9943,179.963,0.145668,0.0906822,0.260399,0.287854,0.655574,601
0.01,0.001,ranking,translation,l2,89.924,221.026,0.121703,0.0765391,0.214642,0.301165,0.585691,601
0.01,0.001,ranking,diagonal,dot,97.5877,240.415,0.0517948,0.0274542,0.0898502,0.110649,0.548253,601
0.01,0.001,ranking,diagonal,l2,118.233,330.202,0.0422392,0.0207987,0.0856905,0.130616,0.434276,601
0.01,0.001,softmax,translation,dot,97.3612,245.172,0.0434632,0.0216306,0.0765391,0.107321,0.558236,601
0.01,0.001,softmax,translation,l2,12.2706,149.795,0.142984,0.0806988,0.272879,0.296173,0.701331,601
0.01,0.001,softmax,diagonal,dot,12.5101,306.031,0.0508017,0.0274542,0.0915141,0.15391,0.440932,601
0.01,0.001,softmax,diagonal,l2,12.6822,230.088,0.0502665,0.0216306,0.0981697,0.12812,0.561564,601
0.01,1e-05,ranking,translation,dot,12.5084,330.428,0.0351631,0.0183028,0.0599002,0.0990017,0.40183,601
0.01,1e-05,ranking,translation,l2,80.4237,153.363,0.14265,0.0815308,0.27787,0.299501,0.725458,601
