lr,reg,loss_fn,operator,comparator,loss,pos_rank,mrr,r1,r10,r50,auc,count
0.01,0.1,ranking,translation,dot,76.85186666666668,182.0533333333333,0.14002833333333334,0.08324953333333333,0.251245,0.27939033333333335,0.6604613333333333,607.6666666666666
0.01,0.1,ranking,translation,l2,89.68286666666665,220.15166666666664,0.1141688,0.06346693333333334,0.21373666666666666,0.3053596666666667,0.5990519999999999,607.6666666666666
0.01,0.1,ranking,diagonal,dot,97.01213333333334,237.57666666666668,0.0522482,0.030243766666666668,0.0901732,0.112746,0.544207,607.6666666666666
0.01,0.1,ranking,diagonal,l2,116.43033333333334,325.7643333333333,0.047627,0.021954433333333332,0.09678616666666666,0.13984233333333332,0.4114653333333333,607.6666666666666
0.01,0.1,softmax,translation,dot,12.343533333333333,157.67133333333334,0.148563,0.08927866666666667,0.2683836666666667,0.286541,0.7044223333333334,607.6666666666666
0.01,0.1,softmax,translation,l2,12.501666666666667,311.274,0.055103099999999995,0.0322104,0.0928653,0.14878266666666665,0.438834,607.6666666666666
0.01,0.1,softmax,diagonal,dot,12.604466666666667,222.751,0.05440926666666666,0.029902733333333334,0.0960319,0.12955733333333333,0.5919066666666667,607.6666666666666
0.01,0.1,softmax,diagonal,l2,12.604,361.3953333333333,0.03667576666666667,0.018728766666666667,0.06321046666666667,0.09452506666666667,0.3414506666666666,607.6666666666666
0.01,0.001,ranking,translation,dot,76.68173333333334,181.97299999999998,0.1415546666666667,0.08658553333333334,0.2550806666666667,0.27831133333333336,0.6570383333333334,607.6666666666666
0.01,0.001,ranking,translation,l2,90.3821,222.48733333333334,0.12479333333333335,0.07803876666666666,0.21954533333333334,0.311074,0.5831306666666667,607.6666666666666
0.01,0.001,ranking,diagonal,dot,97.24130000000001,236.851,0.049322300000000006,0.023315566666666666,0.0903274,0.11806233333333334,0.5523223333333332,607.6666666666666
0.01,0.001,ranking,diagonal,l2,116.32033333333334,326.63866666666667,0.0451736,0.02337613333333333,0.08543376666666667,0.129453,0.4175956666666667,607.6666666666666
0.01,0.001,softmax,translation,dot,97.29403333333335,242.44000000000003,0.0469117,0.022978666666666665,0.08420116666666666,0.11448733333333333,0.5432186666666666,607.6666666666666
0.01,0.001,softmax,translation,l2,12.3345,157.88899999999998,0.14589633333333332,0.08760943333333333,0.26703133333333334,0.286742,0.6922773333333333,607.6666666666666
0.01,0.001,softmax,diagonal,dot,12.484433333333333,307.83,0.0525543,0.027931766666666667,0.09445716666666666,0.14924866666666667,0.427775,607.6666666666666
0.01,0.001,softmax,diagonal,l2,12.672566666666667,219.32399999999998,0.053224933333333335,0.026699333333333335,0.10232573333333332,0.13458,0.5906629999999999,607.6666666666666
0.01,1e-05,ranking,translation,dot,12.510233333333334,331.173,0.037291200000000004,0.019386533333333334,0.061248199999999996,0.10183376666666666,0.39655766666666664,607.6666666666666
0.01,1e-05,ranking,translation,l2,81.19003333333333,155.14066666666665,0.14286733333333332,0.08499366666666668,0.26811500000000005,0.2926203333333333,0.7178453333333334,607.6666666666666
0.01,1e-05,ranking,diagonal,dot,98.78093333333334,283.38866666666667,0.04849026666666667,0.025167433333333333,0.08323666666666667,0.15125466666666665,0.49404866666666675,607.6666666666666
0.01,1e-05,ranking,diagonal,l2,99.63369999999999,277.426,0.0346874,0.0160844,0.06558286666666667,0.11234000000000001,0.47212933333333335,607.6666666666666
0.01,1e-05,softmax,translation,dot,41.61143333333333,216.25166666666667,0.10809316666666667,0.06569323333333334,0.19335453333333333,0.23548899999999998,0.6140873333333333,607.6666666666666
0.01,1e-05,softmax,translation,l2,12.4668,296.1666666666667,0.0825153,0.0529144,0.13916509999999999,0.16662403333333334,0.4540733333333334,607.6666666666666
0.01,1e-05,softmax,diagonal,dot,80.57823333333333,335.72499999999997,0.05271376666666666,0.027138233333333334,0.10122186666666666,0.1400819,0.3901696666666667,607.6666666666666
