lr     ,reg   ,loss_fn ,operator    ,comparator ,loss                  ,pos_rank           ,mrr                   ,r1                    ,r10                   ,r50                   ,auc                   ,count
0.01   ,0.1   ,ranking ,translation ,dot        ,1.7147570874292648    ,5.611342164659797  ,0.008910248980185057  ,0.007514992776369709  ,0.010745034419054545  ,0.018469314557455086  ,0.018394933891941256  ,16.21384867602041
0.01   ,0.1   ,ranking ,translation ,l2         ,4.0560319725345115    ,16.39546803913271  ,0.012914445166040492  ,0.010968943565762791  ,0.02014093004031564   ,0.022156412485378172  ,0.018020986506478095  ,16.21384867602041
0.01   ,0.1   ,ranking ,diagonal    ,dot        ,0.33378941798019557   ,3.161257169052982  ,0.0029743419451479804 ,0.004263789081973397  ,0.0024673576041317337 ,0.0009161233541396024 ,0.004152065831205774  ,16.21384867602041
0.01   ,0.1   ,ranking ,diagonal    ,l2         ,0.7996542308328555    ,4.048011967483403  ,0.0009698502564829262 ,0.0006064382811868736 ,0.007632986760254616  ,0.006667646527990377  ,0.0049974480376377    ,16.21384867602041
0.01   ,0.1   ,softmax ,translation ,dot        ,0.13335652298340048   ,6.2444973287598495 ,0.015030394295116357  ,0.015486581362442634  ,0.018712213842538492  ,0.017545876951580396  ,0.017837491309660756  ,16.21384867602041
0.01   ,0.1   ,softmax ,translation ,l2         ,0.01730709552627298   ,4.79184522565857   ,0.002571018072022573  ,0.00625906357426306   ,0.007741529815654439  ,0.01047141506939514   ,0.005275136459530372  ,16.21384867602041
0.01   ,0.1   ,softmax ,diagonal    ,dot        ,0.057076109031907914  ,6.653436154850117  ,0.003378277058238742  ,0.0030409264260894075 ,0.009649590786142175  ,0.017135993898484234  ,0.011959521850345387  ,16.21384867602041
0.01   ,0.1   ,softmax ,diagonal    ,l2         ,0.02684784286803464   ,2.5315193505525913 ,0.0009499903379625626 ,0.0031679470979730008 ,0.0055141873963642386 ,0.003957903455394312  ,0.0037988489777241005 ,16.21384867602041
0.01   ,0.001 ,ranking ,translation ,dot        ,1.5145836310866299    ,3.400855872668922  ,0.008568402197739218  ,0.005103013516432118  ,0.012224232009505632  ,0.017155045017590475  ,0.0064285236425031846 ,16.21384867602041
0.01   ,0.001 ,ranking ,translation ,l2         ,0.40320144675665853   ,3.9584526718852535 ,0.003456809736672758  ,0.0061022591490547395 ,0.005856732270548907  ,0.00807560181451925   ,0.01044071269385166   ,16.21384867602041
0.01   ,0.001 ,ranking ,diagonal    ,dot        ,0.25165215410694614   ,3.4146992058842605 ,0.003691653722475426  ,0.0030330065175590303 ,0.007062840503650069  ,0.0067534859311486175 ,0.0033053158531203748 ,16.21384867602041
0.01   ,0.001 ,ranking ,diagonal    ,l2         ,1.356747172058559     ,3.1337445474845134 ,0.007034306652873948  ,0.007937869343148002  ,0.0055209509816898615 ,0.0009157761735271413 ,0.012031150743890717  ,16.21384867602041
0.01   ,0.001 ,softmax ,translation ,dot        ,0.7188221492290168    ,1.9349115397523124 ,0.004215015203610384  ,0.002280846574313045  ,0.010611030738916094  ,0.006902130605029791  ,0.013163662340785762  ,16.21384867602041
0.01   ,0.001 ,softmax ,translation ,l2         ,0.16790118125453066   ,7.903737639032986  ,0.010323467580657619  ,0.006782464066661584  ,0.016860739096756377  ,0.01972495510768022   ,0.02383766859871624   ,16.21384867602041
0.01   ,0.001 ,softmax ,diagonal    ,dot        ,0.0184855499121761    ,4.794433091270207  ,0.0020046976629906066 ,0.0016580697338237074 ,0.006271900017449969  ,0.0033745140226244252 ,0.01026871101940258   ,16.21384867602041
0.01   ,0.001 ,softmax ,diagonal    ,l2         ,0.04247684336461665   ,13.303321414844735 ,0.009737544757050185  ,0.006937003620360083  ,0.019950111651539416  ,0.024000349289124943  ,0.03698803618288849   ,16.21384867602041
0.01   ,1e-05 ,ranking ,translation ,dot        ,0.015364099568655198  ,0.5274220321526236 ,0.0041871307606362925 ,0.0032602449461488154 ,0.007177463307232345  ,0.007345199713342648  ,0.008823466980476312  ,16.21384867602041
0.01   ,1e-05 ,ranking ,translation ,l2         ,1.4867971332887222    ,5.628602806696837  ,0.005005850532682285  ,0.002493449606914528  ,0.019000775264885025  ,0.01422863442342784   ,0.02099185588640402   ,16.21384867602041
0.01   ,1e-05 ,ranking ,diagonal    ,dot        ,0.5373258250095779    ,3.1741024278088967 ,0.003530050101942213  ,0.0034653153202686884 ,0.00603512756249241   ,0.005902583633931467  ,0.010422532396474287  ,16.21384867602041
0.01   ,1e-05 ,ranking ,diagonal    ,l2         ,1.8980383505082312    ,38.489736874479505 ,0.006696212724120004  ,0.0037798233353778144 ,0.009208155558102947  ,0.00655593883436995   ,0.06374917241990063   ,16.21384867602041
0.01   ,1e-05 ,softmax ,translation ,dot        ,41.314528795919834    ,62.34336267443036  ,0.052933148814225     ,0.0369229323097298    ,0.08938239279281401   ,0.08374407636364496   ,0.11959678932516914   ,16.21384867602041
0.01   ,1e-05 ,softmax ,translation ,l2         ,0.05961146422179778   ,95.37719501129304  ,0.05248494261004769   ,0.03181255221826755   ,0.10084660038008222   ,0.1111636909007113    ,0.16167950752302807   ,16.21384867602041
0.01   ,1e-05 ,softmax ,diagonal    ,dot        ,48.14949505698084     ,17.783065483768517 ,0.005012478185045352  ,0.0029142370875105935 ,0.01165459118268657   ,0.029564699420423675  ,0.02053711200620855   ,16.21384867602041
