lr,reg,loss_fn,operator,comparator,loss,pos_rank,mrr,r1,r10,r50,auc,count
0.01,0.1,ranking,translation,dot,81.879,191.263,0.120214,0.0747508,0.209302,0.226744,0.655316,602
0.01,0.1,ranking,translation,l2,94.8237,224.448,0.0858689,0.0523256,0.142857,0.280731,0.581395,602
0.01,0.1,ranking,diagonal,dot,102.466,254.609,0.0191156,0.00830565,0.0282392,0.0498339,0.494186,602
0.01,0.1,ranking,diagonal,l2,122.903,340.675,0.0225886,0.00581395,0.0490033,0.100498,0.372924,602
0.01,0.1,softmax,translation,dot,12.852,168.294,0.118997,0.070598,0.22093,0.227575,0.683555,602
0.01,0.1,softmax,translation,l2,12.7131,319.668,0.0303091,0.0124585,0.0556478,0.126246,0.402824,602
0.01,0.1,softmax,diagonal,dot,12.9801,240.286,0.0299573,0.0166113,0.0481728,0.0672757,0.549834,602
0.01,0.1,softmax,diagonal,l2,12.7627,383.054,0.0169779,0.00996678,0.0207641,0.0406977,0.305648,602
0.01,0.001,ranking,translation,dot,81.9226,196.455,0.121488,0.0739203,0.209302,0.224252,0.646179,602
0.01,0.001,ranking,translation,l2,94.1976,228.033,0.0882455,0.0456811,0.173588,0.281561,0.562292,602
0.01,0.001,ranking,diagonal,dot,103.897,260.169,0.0223061,0.0141196,0.0240864,0.0398671,0.476744,602
0.01,0.001,ranking,diagonal,l2,123.379,352.006,0.0174408,0.00664452,0.0282392,0.0714286,0.387043,602
0.01,0.001,softmax,translation,dot,102.387,251.809,0.0196673,0.00913621,0.0265781,0.0581395,0.52907,602
0.01,0.001,softmax,translation,l2,12.865,164.9,0.121868,0.0755814,0.217608,0.225914,0.688538,602
0.01,0.001,softmax,diagonal,dot,12.7523,342.53,0.0233377,0.00996678,0.0415282,0.0913621,0.364618,602
0.01,0.001,softmax,diagonal,l2,13.0549,241.815,0.0292535,0.0149502,0.0498339,0.0664452,0.517442,602
0.01,1e-05,ranking,translation,dot,12.6947,350.447,0.017445,0.0107973,0.0199336,0.0523256,0.357143,602
0.01,1e-05,ranking,translation,l2,86.6219,167.115,0.123757,0.0780731,0.222591,0.234219,0.675249,602
0.01,1e-05,ranking,diagonal,dot,104.077,301.163,0.0242357,0.0107973,0.038206,0.0872093,0.41113,602
0.01,1e-05,ranking,diagonal,l2,105.832,330.673,0.0142822,0.00581395,0.0249169,0.0498339,0.389535,602
0.01,1e-05,softmax,translation,dot,12.4236,164.926,0.120083,0.0689369,0.216777,0.243355,0.700997,602
0.01,1e-05,softmax,translation,l2,12.5348,389.552,0.0129212,0.00415282,0.0232558,0.038206,0.305648,602
0.01,1e-05,softmax,diagonal,dot,124.576,352.441,0.0245502,0.00996678,0.0481728,0.0980066,0.340532,602
0.01,1e-05,softmax,diagonal,l2,12.5013,230.521,0.0207504,0.0107973,0.0224252,0.0531561,0.54402,602
0.001,0.1,ranking,translation,dot,12.5287,384.685,0.0121536,0.00498339,0.0166113,0.0332226,0.328904,602
0.001,0.1,ranking,translation,l2,86.6949,168.581,0.117532,0.0647841,0.219269,0.228405,0.668605,602
0.001,0.1,ranking,diagonal,dot,103.713,291.045,0.0218841,0.00747508,0.0373754,0.0946844,0.472591,602
0.001,0.1,ranking,diagonal,l2,102.416,242.247,0.0182743,0.00996678,0.0182724,0.0431894,0.490033,602
0.001,0.1,softmax,translation,dot,105.736,331.032,0.0127717,0.00332226,0.0224252,0.0498339,0.394518,602
0.001,0.1,softmax,translation,l2,12.4236,185.949,0.118342,0.0689369,0.217608,0.241694,0.678571,602
0.001,0.1,softmax,diagonal,dot,12.5314,382.942,0.0163748,0.00830565,0.0224252,0.0348837,0.293189,602
0.001,0.1,softmax,diagonal,l2,12.5015,225.569,0.0184388,0.00996678,0.0182724,0.0473422,0.569767,602
0.001,0.001,ranking,translation,dot,12.5274,375.857,0.0103845,0.00249169,0.019103,0.0357143,0.303987,602
0.001,0.001,ranking,translation,l2,11.9128,133.232,0.118516,0.0656146,0.22093,0.225914,0.734219,602
0.001,0.001,ranking,diagonal,dot,86.4715,160.934,0.115789,0.0631229,0.221761,0.23505,0.695183,602
0.001,0.001,ranking,diagonal,l2,104.042,297.632,0.0240109,0.0107973,0.0357143,0.0921927,0.425249,602
0.001,0.001,softmax,translation,dot,102.368,248.972,0.0200548,0.00830565,0.0299003,0.0465116,0.54402,602
0.001,0.001,softmax,translation,l2,102.53,244.399,0.0169084,0.00830565,0.019103,0.0315615,0.502492,602
