lr,reg,loss_fn,operator,comparator,loss,pos_rank,mrr,r1,r10,r50,auc,count
0.01,0.1,ranking,translation,dot,82.16906666666667,192.45633333333333,0.11984233333333333,0.07451970000000001,0.20664566666666664,0.220452,0.629163,602.3333333333334
0.01,0.1,ranking,translation,l2,96.943,235.0053333333333,0.08022766666666667,0.04507423333333333,0.146317,0.2702886666666667,0.5430820000000001,602.3333333333334
0.01,0.1,ranking,diagonal,dot,102.16133333333333,254.06300000000002,0.020048800000000002,0.008582023333333333,0.030453599999999997,0.05428636666666667,0.5007803333333333,602.3333333333334
0.01,0.1,ranking,diagonal,l2,123.82,345.394,0.023705600000000004,0.00889946,0.0451561,0.09245373333333333,0.360918,602.3333333333334
0.01,0.1,softmax,translation,dot,12.886833333333334,165.9433333333333,0.12648033333333333,0.07936453333333333,0.21633499999999997,0.22215033333333334,0.6894076666666668,602.3333333333334
0.01,0.1,softmax,translation,l2,12.716466666666667,331.01366666666667,0.0279039,0.013853433333333333,0.0459635,0.09576246666666666,0.3875326666666667,602.3333333333334
0.01,0.1,softmax,diagonal,dot,12.944633333333334,233.82333333333335,0.029448333333333337,0.0149576,0.04776076666666667,0.06602166666666666,0.5301003333333334,602.3333333333334
0.01,0.1,softmax,diagonal,l2,12.757666666666667,382.54866666666663,0.014773299999999998,0.00723004,0.021308099999999996,0.04039923333333333,0.30387800000000004,602.3333333333334
0.01,0.001,ranking,translation,dot,81.9962,192.83866666666665,0.11929866666666666,0.07311556666666667,0.206919,0.21910933333333335,0.6341856666666666,602.3333333333334
0.01,0.001,ranking,translation,l2,97.23046666666669,237.6833333333333,0.08219063333333333,0.04423243333333334,0.15496266666666667,0.26810633333333334,0.5383883333333334,602.3333333333334
0.01,0.001,ranking,diagonal,dot,102.71566666666666,255.50766666666664,0.02144386666666667,0.011073330000000001,0.02878923333333333,0.05310856666666667,0.5022220000000001,602.3333333333334
0.01,0.001,ranking,diagonal,l2,123.09266666666667,347.90066666666667,0.020052666666666667,0.006921643333333334,0.03571373333333333,0.07629380000000001,0.38627433333333333,602.3333333333334
0.01,0.001,softmax,translation,dot,102.02933333333333,252.36433333333332,0.019981866666666667,0.008571876666666667,0.02961293333333333,0.05587243333333333,0.5157903333333334,602.3333333333334
0.01,0.001,softmax,translation,l2,12.915500000000002,164.13400000000001,0.12102433333333333,0.07333403333333334,0.21439433333333333,0.22241633333333333,0.6946086666666665,602.3333333333334
0.01,0.001,softmax,diagonal,dot,12.728966666666667,338.42066666666665,0.026486400000000004,0.01440276,0.0415302,0.09605523333333332,0.3687496666666667,602.3333333333334
0.01,0.001,softmax,diagonal,l2,13.013166666666669,245.865,0.022954199999999998,0.01080375,0.03849906666666667,0.05789023333333334,0.5146466666666667,602.3333333333334
0.01,1e-05,ranking,translation,dot,12.690599999999998,357.08099999999996,0.015517233333333333,0.0074931166666666665,0.0229714,0.0462498,0.344563,602.3333333333334
0.01,1e-05,ranking,translation,l2,86.8541,159.66866666666667,0.120116,0.07195813333333334,0.21495533333333336,0.228484,0.6922893333333334,602.3333333333334
0.01,1e-05,ranking,diagonal,dot,103.67666666666666,297.09666666666664,0.022947866666666667,0.009706459999999998,0.037095899999999994,0.0993021,0.43074066666666666,602.3333333333334
0.01,1e-05,ranking,diagonal,l2,104.31233333333334,291.59633333333335,0.016708866666666666,0.005237336666666666,0.030487299999999995,0.05602906666666666,0.45339033333333334,602.3333333333334
0.01,1e-05,softmax,translation,dot,43.37263333333333,217.5583333333333,0.08313573333333334,0.04590681,0.14988916666666666,0.1791459333333333,0.5911506666666666,602.3333333333334
0.01,1e-05,softmax,translation,l2,12.496033333333335,311.19233333333335,0.051362399999999996,0.03128277333333333,0.08775386666666667,0.10213026666666668,0.43481866666666663,602.3333333333334
0.01,1e-05,softmax,diagonal,dot,86.64466666666665,362.5106666666666,0.020679866666666668,0.008582396666666667,0.03886146666666667,0.07693793333333333,0.3231583333333334,602.3333333333334
0.01,1e-05,softmax,diagonal,l2,50.23356666666666,256.469,0.0235911,0.009692673333333334,0.0334612,0.087269,0.501786,602.3333333333334
0.001,0.1,ranking,translation,dot,12.519433333333334,330.096,0.014481666666666665,0.00661359,0.019363633333333335,0.03761366666666666,0.39757133333333333,602.3333333333334
0.001,0.1,ranking,translation,l2,62.1817,238.92633333333336,0.08185285666666667,0.04568433333333333,0.14910793333333333,0.16180553333333333,0.5489463333333333,602.3333333333334
0.001,0.1,ranking,diagonal,dot,97.84376666666667,247.20100000000002,0.057198933333333334,0.032144559999999996,0.1008153,0.1444718,0.5462983333333333,602.3333333333334
0.001,0.1,ranking,diagonal,l2,102.58666666666666,257.57,0.020672100000000002,0.011062093333333333,0.0265229,0.05894806666666667,0.4907103333333333,602.3333333333334
0.001,0.1,softmax,translation,dot,104.34233333333333,298.603,0.016043733333333334,0.005779766666666668,0.02408893333333333,0.05019486666666667,0.43290433333333334,602.3333333333334
0.001,0.1,softmax,translation,l2,43.512933333333336,228.91533333333336,0.0836833,0.049261266666666664,0.15046006666666667,0.17774516666666665,0.5776163333333334,602.3333333333334
0.001,0.1,softmax,diagonal,dot,12.494866666666667,310.88033333333334,0.049432,0.029066936666666664,0.08827596666666666,0.10072883333333334,0.424347,602.3333333333334
0.001,0.1,softmax,diagonal,l2,12.512133333333333,271.93533333333335,0.018533333333333332,0.009149520000000001,0.021891866666666666,0.05108633333333334,0.4897386666666666,602.3333333333334
0.001,0.001,ranking,translation,dot,12.519333333333334,321.82666666666665,0.014098366666666666,0.004410026666666666,0.02209296666666667,0.057850033333333335,0.3924066666666666,602.3333333333334
0.001,0.001,ranking,translation,l2,12.126799999999998,213.346,0.08349169,0.0465214,0.1499416,0.16290843333333335,0.6011776666666667,602.3333333333334
0.001,0.001,ranking,diagonal,dot,61.8723,151.8663333333333,0.12087300000000001,0.07138766666666667,0.21468600000000002,0.22822833333333334,0.7064876666666667,602.3333333333334
0.001,0.001,ranking,diagonal,l2,98.13516666666665,253.28533333333334,0.0551296,0.0293786,0.09828726666666665,0.13744433333333334,0.5088203333333333,602.3333333333334
0.001,0.001,softmax,translation,dot,102.39033333333333,250.27566666666667,0.022209500000000004,0.009955016666666665,0.030139433333333337,0.06889513333333332,0.513755,602.3333333333334
0.001,0.001,softmax,translation,l2,101.99666666666667,229.60799999999998,0.01979003333333333,0.009142256666666666,0.0262809,0.043775800000000004,0.529783,602.3333333333334
0.001,0.001,softmax,diagonal,dot,105.29466666666667,325.485,0.014901233333333333,0.003594363333333333,0.025779733333333332,0.059555233333333325,0.38637966666666673,602.3333333333334
0.001,0.001,softmax,diagonal,l2,12.477199999999998,177.294,0.12373866666666666,0.07861920000000001,0.20885233333333333,0.23994899999999997,0.6730073333333332,602.3333333333334
0.001,1e-05,ranking,translation,dot,12.459999999999999,242.55066666666667,0.08300039999999999,0.04813933,0.14688369999999998,0.16791040000000002,0.5588963333333333,602.3333333333334
0.001,1e-05,ranking,translation,l2,12.522566666666668,327.1666666666667,0.017178366666666667,0.008297906666666667,0.021576966666666666,0.05177233333333333,0.386112,602.3333333333334
0.001,1e-05,ranking,diagonal,dot,12.511066666666666,273.02500000000003,0.019404233333333337,0.00915351,0.026061,0.06163713333333334,0.46938300000000005,602.3333333333334
0.001,1e-05,ranking,diagonal,l2,42.81776666666667,320.93666666666667,0.049596699999999994,0.02877267,0.08609273333333334,0.10817873333333333,0.415112,602.3333333333334
0.001,1e-05,softmax,translation,dot,103.91733333333333,245.52266666666665,0.09269486666666667,0.0547881,0.16294106666666666,0.2216796666666667,0.5554803333333334,602.3333333333334
0.001,1e-05,softmax,translation,l2,74.18636666666667,357.959,0.030827000000000004,0.013846933333333334,0.05709123333333333,0.14037796666666666,0.36118433333333333,602.3333333333334
0.001,1e-05,softmax,diagonal,dot,43.09523333333333,299.0916666666667,0.027602966666666662,0.013286699999999999,0.04318773333333333,0.11853023333333333,0.43119466666666667,602.3333333333334
0.001,1e-05,softmax,diagonal,l2,104.52166666666666,259.05466666666666,0.023651699999999998,0.009152023333333334,0.03329716666666666,0.1290249,0.4986343333333334,602.3333333333334
0.0001,0.1,ranking,translation,dot,74.93756666666667,326.644,0.0545183,0.03452814666666667,0.0880375,0.11347269999999998,0.4217603333333333,602.3333333333334
0.0001,0.1,ranking,translation,l2,12.505566666666667,245.61933333333332,0.09079646666666667,0.05309666333333333,0.15996003333333333,0.211174,0.5723633333333332,602.3333333333334
0.0001,0.1,ranking,diagonal,dot,12.506766666666666,309.95966666666664,0.0333471,0.0149576,0.05629333333333333,0.16088266666666665,0.44448400000000005,602.3333333333334
0.0001,0.1,ranking,diagonal,l2,12.5067,258.8206666666667,0.022490766666666665,0.009152763333333333,0.0310454,0.12453900000000001,0.4958396666666666,602.3333333333334
0.0001,0.1,softmax,translation,dot,42.80413333333333,324.9753333333333,0.047103733333333335,0.02573241,0.08498233333333334,0.11287353333333335,0.41134466666666664,602.3333333333334
0.0001,0.1,softmax,translation,l2,103.863,241.44766666666666,0.09329803333333332,0.05536576666666667,0.16407226666666666,0.21776399999999999,0.5693133333333333,602.3333333333334
0.0001,0.1,softmax,diagonal,dot,104.56333333333333,305.05633333333327,0.03159016666666667,0.01247754,0.05911873333333334,0.169354,0.4572243333333333,602.3333333333334
0.0001,0.1,softmax,diagonal,l2,104.52933333333333,259.411,0.021785533333333332,0.006932156666666667,0.0307693,0.13513376666666665,0.514941,602.3333333333334
0.0001,0.001,ranking,translation,dot,74.94200000000001,345.5106666666666,0.015636300000000002,0.005247483333333334,0.027903566666666667,0.04840576666666666,0.36882200000000004,602.3333333333334
0.0001,0.001,ranking,translation,l2,12.5615,230.31799999999998,0.05865620000000001,0.037063733333333335,0.09330126666666667,0.11977633333333333,0.5610546666666667,602.3333333333334
0.0001,0.001,ranking,diagonal,dot,12.5077,362.46599999999995,0.0391223,0.018565733333333334,0.07748023333333333,0.17262533333333333,0.373461,602.3333333333334
0.0001,0.001,ranking,diagonal,l2,12.505033333333332,192.944,0.027926033333333333,0.01079897,0.036804533333333334,0.16526366666666667,0.623229,602.3333333333334
0.0001,0.001,softmax,translation,dot,12.510033333333332,395.258,0.013392566666666666,0.004441586666666667,0.025191633333333335,0.04954763333333334,0.26922266666666667,602.3333333333334
0.0001,0.001,softmax,translation,l2,103.34233333333333,192.915,0.12098866666666667,0.0741769,0.20664300000000002,0.24957966666666664,0.6524376666666667,602.3333333333334
0.0001,0.001,softmax,diagonal,dot,104.98166666666667,361.69233333333335,0.036580633333333334,0.015805589999999998,0.0724618,0.17098166666666667,0.36729900000000004,602.3333333333334
0.0001,0.001,softmax,diagonal,l2,103.64766666666667,190.39633333333333,0.02782163333333333,0.010511626666666668,0.03651676666666667,0.16027033333333335,0.6201843333333333,602.3333333333334
0.0001,1e-05,ranking,translation,dot,106.16933333333333,396.4503333333333,0.012954833333333332,0.004445213333333333,0.0235287,0.04595763333333334,0.28836,602.3333333333334
0.0001,1e-05,ranking,translation,l2,12.504466666666666,191.84233333333336,0.12038900000000001,0.07388303333333333,0.20664966666666665,0.23823433333333333,0.6585643333333334,602.3333333333334
0.0001,1e-05,ranking,diagonal,dot,12.507633333333333,361.286,0.03566146666666667,0.016060633333333334,0.06861156666666667,0.171528,0.36272,602.3333333333334
0.0001,1e-05,ranking,diagonal,l2,12.717333333333334,374.42666666666673,0.01232483,0.0019408673333333331,0.028810600000000002,0.05317893333333334,0.2848006666666667,602.3333333333334
0.0001,1e-05,softmax,translation,dot,12.505033333333332,193.08400000000003,0.0272381,0.009948876666666667,0.03760603333333334,0.17304833333333333,0.6034236666666667,602.3333333333334
0.0001,1e-05,softmax,translation,l2,12.510233333333332,399.5466666666666,0.0138599,0.005818596666666666,0.02324496666666667,0.046185166666666666,0.2716273333333334,602.3333333333334
0.0001,1e-05,softmax,diagonal,dot,85.1853,199.24933333333334,0.11084433333333334,0.06838656666666666,0.19413133333333332,0.21496066666666666,0.6166010000000001,602.3333333333334
0.0001,1e-05,softmax,diagonal,l2,89.29183333333333,213.47466666666665,0.11347433333333334,0.06505416666666668,0.20640766666666666,0.32711399999999996,0.5902606666666667,602.3333333333334
0.01,None,ranking,affine,dot,14.179366666666667,182.50733333333332,0.10954266666666668,0.06644383333333333,0.193914,0.20887866666666666,0.6563586666666666,602.3333333333334
0.01,None,ranking,affine,l2,12.6325,299.59233333333333,0.031409766666666665,0.013846566666666666,0.05347943333333333,0.13871666666666668,0.44817033333333334,602.3333333333334
0.01,None,softmax,affine,dot,92.70543333333335,166.89533333333333,0.11966500000000001,0.0700263,0.21494833333333332,0.22603533333333334,0.6896826666666667,602.3333333333334
0.01,None,softmax,affine,l2,103.295,288.0796666666667,0.025328733333333336,0.012449233333333332,0.0378963,0.1022438,0.459195,602.3333333333334
0.001,None,ranking,affine,dot,12.414166666666667,151.08366666666666,0.12065666666666668,0.07553286666666668,0.20252266666666666,0.230016,0.7047583333333334,602.3333333333334
0.001,None,ranking,affine,l2,12.5251,366.2516666666667,0.0165985,0.009443016666666667,0.0210548,0.036566466666666665,0.32989266666666667,602.3333333333334
0.001,None,softmax,affine,dot,82.4478,196.37099999999998,0.12039366666666666,0.07746796666666667,0.20693000000000003,0.22045533333333334,0.6182696666666666,602.3333333333334
0.001,None,softmax,affine,l2,103.33066666666667,186.37233333333333,0.12397733333333333,0.08023063333333334,0.20802933333333332,0.24187166666666668,0.6578026666666666,602.3333333333334
0.0001,None,ranking,affine,dot,104.95566666666667,358.64000000000004,0.0322673,0.01497863,0.06277306666666665,0.15630566666666668,0.35884900000000003,602.3333333333334
0.0001,None,ranking,affine,l2,12.504399999999999,185.15166666666664,0.12332100000000001,0.07888079999999999,0.20692633333333332,0.24459766666666669,0.678296,602.3333333333334
0.0001,None,softmax,affine,dot,12.507366666666668,357.4483333333333,0.03345303333333333,0.0155033,0.0630974,0.15716366666666667,0.36959933333333334,602.3333333333334
0.0001,None,softmax,affine,l2,95.51243333333333,232.00633333333334,0.08354080000000001,0.0454282,0.15716533333333335,0.2854546666666667,0.5641496666666667,602.3333333333334
