lr     ,reg   ,loss_fn ,operator    ,comparator ,loss                   ,pos_rank            ,mrr                   ,r1                    ,r10                    ,r50                    ,auc                   ,count
0.01   ,0.1   ,ranking ,translation ,dot        ,0.6222455321030641     ,2.6688617215751136  ,0.004579519795301201  ,0.00855007682109738   ,0.0053669908597731774  ,0.009114749841145763   ,0.019528111856159217  ,6.128258770283412
0.01   ,0.1   ,ranking ,translation ,l2         ,1.7637960823179097     ,8.530181331926977   ,0.005193626224731832  ,0.005923889364448177  ,0.006120421608571312   ,0.008972663533694383   ,0.028624793414101703  ,6.128258770283412
0.01   ,0.1   ,ranking ,diagonal    ,dot        ,0.2708226151725255     ,0.42651377468963325 ,0.0008594424704423219 ,0.0004699847122572777 ,0.0022935914021464253  ,0.006179660364094095   ,0.006621895314451536  ,6.128258770283412
0.01   ,0.1   ,ranking ,diagonal    ,l2         ,0.7861920884872807     ,3.361767491464371   ,0.004409524614589046  ,0.005010449007444342  ,0.005853143210845491   ,0.006561295543479876   ,0.012641593016704814  ,6.128258770283412
0.01   ,0.1   ,softmax ,translation ,dot        ,0.030317688273056455   ,3.4009980234565846  ,0.006317134600082192  ,0.007701077511765627  ,0.005632235139504264   ,0.005692882124977548   ,0.01359718228980627   ,6.128258770283412
0.01   ,0.1   ,softmax ,translation ,l2         ,0.01533195645992042    ,9.464300091513492   ,0.0030121473315006795 ,0.0020893400701869694 ,0.007394204057683738   ,0.021606963541157025   ,0.017978637700214004  ,6.128258770283412
0.01   ,0.1   ,softmax ,diagonal    ,dot        ,0.027802917512775898   ,14.141886397821509  ,0.0022524617441565756 ,0.001900991616674483  ,0.010700847926008273   ,0.010890543222549651   ,0.03645018996140106   ,6.128258770283412
0.01   ,0.1   ,softmax ,diagonal    ,l2         ,0.01263654312785844    ,0.4259713083712871  ,0.003416519030631422  ,0.003953511519278357  ,0.00044279262264254805 ,0.00022244845595228538 ,0.005923509995489731  ,6.128258770283412
0.01   ,0.001 ,ranking ,translation ,dot        ,0.5523676130983819     ,3.0069149564887283  ,0.004150901454972025  ,0.006523443345010026  ,0.0056208583567518115  ,0.0053302154011092475  ,0.008658535454811156  ,6.128258770283412
0.01   ,0.001 ,ranking ,translation ,l2         ,2.2748890688461207     ,7.604872663116874   ,0.0047630315957614905 ,0.004092407856289768  ,0.013178262539331792   ,0.009739920134283559   ,0.018641642101011973  ,6.128258770283412
