lr,reg,loss_fn,operator,comparator,loss,pos_rank,mrr,r1,r10,r50,auc,count
0.01,0.1,ranking,translation,dot,72.5252,166.472,0.191623,0.137705,0.277869,0.289344,0.70082,610
0.01,0.1,ranking,translation,l2,71.4151,173.377,0.27963,0.235246,0.345902,0.446721,0.64918,610
0.01,0.1,ranking,diagonal,dot,86.0265,184.066,0.131266,0.0868852,0.203279,0.290984,0.631148,610
0.01,0.1,ranking,diagonal,l2,93.0706,268.33,0.214338,0.181148,0.265574,0.295082,0.47623,610
0.01,0.1,softmax,translation,dot,11.9492,151.673,0.193678,0.142623,0.280328,0.290984,0.713115,610
0.01,0.1,softmax,translation,l2,11.6124,241.875,0.225366,0.195902,0.263115,0.315574,0.532787,610
0.01,0.1,softmax,diagonal,dot,11.4438,190.805,0.106057,0.0663934,0.165574,0.184426,0.62623,610
0.01,0.1,softmax,diagonal,l2,11.7365,285.865,0.209382,0.17623,0.257377,0.268852,0.459836,610
0.01,0.001,ranking,translation,dot,72.7695,169.48,0.189595,0.136885,0.268852,0.290164,0.668033,610
0.01,0.001,ranking,translation,l2,72.4327,178.191,0.266704,0.212295,0.351639,0.434426,0.62541,610
0.01,0.001,ranking,diagonal,dot,85.4349,183.777,0.117864,0.0606557,0.213934,0.290984,0.639344,610
0.01,0.001,ranking,diagonal,l2,95.1576,278.213,0.236453,0.213115,0.266393,0.284426,0.494262,610
0.01,0.001,softmax,translation,dot,86.9142,191.125,0.131354,0.0901639,0.195902,0.278689,0.628689,610
0.01,0.001,softmax,translation,l2,12.0028,152.285,0.195722,0.147541,0.27377,0.30082,0.70082,610
0.01,0.001,softmax,diagonal,dot,11.61,239.819,0.219261,0.180328,0.27459,0.320492,0.533607,610
0.01,0.001,softmax,diagonal,l2,11.5424,202.03,0.104798,0.0729508,0.151639,0.17541,0.613934,610
0.01,1e-05,ranking,translation,dot,11.655,271.914,0.21493,0.181967,0.259016,0.27623,0.481148,610
0.01,1e-05,ranking,translation,l2,80.3872,148.535,0.167233,0.108197,0.268852,0.292623,0.690984,610
0.01,1e-05,ranking,diagonal,dot,77.5678,219.906,0.219771,0.183607,0.259836,0.328689,0.590164,610
0.01,1e-05,ranking,diagonal,l2,90.1425,177.495,0.112002,0.0819672,0.154098,0.169672,0.661475,610
0.01,1e-05,softmax,translation,dot,79.1058,245.475,0.207529,0.170492,0.268033,0.285246,0.507377,610
0.01,1e-05,softmax,translation,l2,12.3885,152.942,0.139533,0.0762295,0.264754,0.310656,0.702459,610
