lr,reg,loss_fn,operator,comparator,loss,pos_rank,mrr,r1,r10,r50,auc,count
0.01,0.1,ranking,translation,dot,75.6065,180.936,0.148867,0.0880952,0.263492,0.294444,0.653968,630
0.01,0.1,ranking,translation,l2,89.3181,221.75,0.123198,0.0690476,0.234921,0.307937,0.59127,630
0.01,0.1,ranking,diagonal,dot,96.6896,236.831,0.0494731,0.0253968,0.0936508,0.111905,0.542857,630
0.01,0.1,ranking,diagonal,l2,115.64,320.963,0.0481216,0.0214286,0.0960317,0.139683,0.407143,630
0.01,0.1,softmax,translation,dot,12.2091,153.392,0.169115,0.111111,0.285714,0.300794,0.70873,630
0.01,0.1,softmax,translation,l2,12.4882,311.533,0.0519119,0.0246032,0.100794,0.145238,0.437302,630
0.01,0.1,softmax,diagonal,dot,12.5453,213.929,0.0552331,0.0285714,0.107143,0.151587,0.602381,630
0.01,0.1,softmax,diagonal,l2,12.5665,359.694,0.0358772,0.0150794,0.0706349,0.0992063,0.343651,630
0.01,0.001,ranking,translation,dot,75.2686,179.194,0.149369,0.0896825,0.266667,0.292857,0.65,630
0.01,0.001,ranking,translation,l2,90.9052,227.898,0.123058,0.0714286,0.227778,0.311111,0.594444,630
0.01,0.001,ranking,diagonal,dot,97.1388,237.891,0.0520682,0.0222222,0.0992063,0.126984,0.556349,630
0.01,0.001,ranking,diagonal,l2,115.232,322.575,0.0548727,0.034127,0.0920635,0.129365,0.406349,630
0.01,0.001,softmax,translation,dot,96.382,240.94,0.0528467,0.0261905,0.0992063,0.12381,0.545238,630
0.01,0.001,softmax,translation,l2,12.1684,155.26,0.159742,0.0968254,0.284127,0.304762,0.715873,630
0.01,0.001,softmax,diagonal,dot,12.4759,314.391,0.0553605,0.0301587,0.103175,0.146032,0.415873,630
0.01,0.001,softmax,diagonal,l2,12.6164,200.579,0.0663517,0.0365079,0.128571,0.166667,0.642857,630
0.01,1e-05,ranking,translation,dot,12.4924,331.514,0.0431408,0.0238095,0.0706349,0.111905,0.384127,630
0.01,1e-05,ranking,translation,l2,79.8775,149.31,0.149104,0.0873016,0.284921,0.305556,0.738889,630
0.01,1e-05,ranking,diagonal,dot,98.0534,279.066,0.0515376,0.0277778,0.0896825,0.157937,0.506349,630
0.01,1e-05,ranking,diagonal,l2,96.9541,223.159,0.0441472,0.0214286,0.0785714,0.103175,0.560317,630
0.01,1e-05,softmax,translation,dot,100.039,303.93,0.0332955,0.0134921,0.0690476,0.118254,0.446032,630
0.01,1e-05,softmax,translation,l2,12.3825,161.283,0.156677,0.097619,0.281746,0.32381,0.68254,630
0.01,1e-05,softmax,diagonal,dot,12.5047,360.506,0.0465801,0.0269841,0.0849206,0.0984127,0.372222,630
0.01,1e-05,softmax,diagonal,l2,113.892,319.398,0.0487964,0.0174603,0.111111,0.176984,0.386508,630
0.001,0.1,ranking,translation,dot,12.4883,206.162,0.0461581,0.0230159,0.081746,0.133333,0.598413,630
