lr,reg,loss_fn,operator,comparator,loss,pos_rank,mrr,r1,r10,r50,auc,count
0.01,0.1,ranking,translation,dot,79.2766,189.416,0.127831,0.0726351,0.237331,0.253378,0.641892,592
0.01,0.1,ranking,translation,l2,94.8228,239.385,0.0959054,0.0481419,0.186655,0.277027,0.581926,592
0.01,0.1,ranking,diagonal,dot,96.8749,234.132,0.0508982,0.0295608,0.0886824,0.11402,0.549831,592
0.01,0.1,ranking,diagonal,l2,117.526,330.865,0.0462718,0.0228041,0.0878378,0.131757,0.408784,592
0.01,0.1,softmax,translation,dot,12.5253,166.501,0.133588,0.0768581,0.242399,0.261824,0.680743,592
0.01,0.1,softmax,translation,l2,12.4907,305.28,0.0551896,0.0320946,0.0954392,0.163007,0.433277,592
0.01,0.1,softmax,diagonal,dot,12.5865,229.996,0.0499218,0.027027,0.0836149,0.109797,0.575169,592
0.01,0.1,softmax,diagonal,l2,12.6279,364.974,0.0380107,0.0228041,0.0574324,0.089527,0.344595,592
0.01,0.001,ranking,translation,dot,78.7823,186.762,0.129627,0.0793919,0.238176,0.254223,0.665541,592
0.01,0.001,ranking,translation,l2,90.3171,218.538,0.129619,0.0861486,0.216216,0.320946,0.569257,592
0.01,0.001,ranking,diagonal,dot,96.9974,232.247,0.0441039,0.0202703,0.0819257,0.116554,0.552365,592
0.01,0.001,ranking,diagonal,l2,115.496,327.139,0.0384089,0.0152027,0.0785473,0.128378,0.412162,592
0.01,0.001,softmax,translation,dot,98.1389,241.208,0.0444252,0.0211149,0.0768581,0.112331,0.526182,592
0.01,0.001,softmax,translation,l2,12.5645,168.612,0.134963,0.0853041,0.244088,0.259291,0.659628,592
0.01,0.001,softmax,diagonal,dot,12.4673,303.068,0.0515007,0.0261824,0.0886824,0.147804,0.42652,592
0.01,0.001,softmax,diagonal,l2,12.7191,227.305,0.0430566,0.0219595,0.0802365,0.108953,0.567568,592
