lr,reg,loss_fn,operator,comparator,loss,pos_rank,mrr,r1,r10,r50,auc,count
0.01,0.1,ranking,translation,dot,86.1007,202.48,0.0984628,0.0685155,0.157423,0.17863,0.631321,613
0.01,0.1,ranking,translation,l2,98.0902,242.998,0.0780524,0.0448613,0.152529,0.271615,0.536705,613
0.01,0.1,ranking,diagonal,dot,104.098,253.285,0.0205071,0.0114192,0.0228385,0.0562806,0.523654,613
0.01,0.1,ranking,diagonal,l2,125.842,351.789,0.0241398,0.0106036,0.0513866,0.0986949,0.367047,613
0.01,0.1,softmax,translation,dot,13.3819,177.073,0.0899472,0.0530179,0.175367,0.179445,0.639478,613
0.01,0.1,softmax,translation,l2,12.8429,349.237,0.0210443,0.00897227,0.0391517,0.08646,0.357259,613
0.01,0.1,softmax,diagonal,dot,13.002,239.77,0.0206088,0.0114192,0.0285481,0.0513866,0.552202,613
0.01,0.1,softmax,diagonal,l2,12.8321,388.106,0.0112583,0.0040783,0.0138662,0.0358891,0.26509,613
0.01,0.001,ranking,translation,dot,86.7136,206.955,0.0887371,0.0562806,0.16721,0.176183,0.612561,613
0.01,0.001,ranking,translation,l2,99.0332,245.18,0.0702711,0.0334421,0.150082,0.25367,0.506525,613
0.01,0.001,ranking,diagonal,dot,102.756,250.536,0.0265772,0.0154976,0.0367047,0.0628059,0.529364,613
0.01,0.001,ranking,diagonal,l2,125.155,348.291,0.0162257,0.00570962,0.0293638,0.0848287,0.369494,613
0.01,0.001,softmax,translation,dot,104.393,261.467,0.0161342,0.00652529,0.0195759,0.0497553,0.477162,613
0.01,0.001,softmax,translation,l2,13.3347,178.801,0.100134,0.0652529,0.174551,0.179445,0.66721,613
0.01,0.001,softmax,diagonal,dot,12.8313,346.069,0.024833,0.0122349,0.0415987,0.0872757,0.341762,613
0.01,0.001,softmax,diagonal,l2,13.0666,231.741,0.0244488,0.0122349,0.0383361,0.0668842,0.549755,613
0.01,1e-05,ranking,translation,dot,12.7273,347.857,0.0153577,0.00815661,0.0212072,0.0522023,0.349918,613
0.01,1e-05,ranking,translation,l2,90.6017,185.793,0.0963521,0.0619902,0.173736,0.183524,0.646003,613
0.01,1e-05,ranking,diagonal,dot,105.841,309.835,0.0148525,0.00652529,0.0154976,0.0685155,0.41354,613
0.01,1e-05,ranking,diagonal,l2,103.624,223.172,0.0121787,0.00489396,0.00815661,0.0228385,0.54323,613
0.01,1e-05,softmax,translation,dot,106.213,316.295,0.0130615,0.00326264,0.0203915,0.0676998,0.403752,613
0.01,1e-05,softmax,translation,l2,12.4431,187.834,0.0940706,0.0595432,0.172104,0.186786,0.65416,613
0.01,1e-05,softmax,diagonal,dot,12.5427,401.44,0.00931416,0.00570962,0.00734095,0.0122349,0.242251,613
