lr,reg,loss_fn,operator,comparator,loss,pos_rank,mrr,r1,r10,r50,auc,count
0.01,0.1,ranking,translation,dot,81.5946,189.952,0.114057,0.0639344,0.211475,0.227049,0.62377,610
0.01,0.1,ranking,translation,l2,96.8634,235.229,0.0814805,0.045082,0.154918,0.271311,0.535246,610
0.01,0.1,ranking,diagonal,dot,102.21,254.012,0.019841,0.00819672,0.0295082,0.05,0.509836,610
0.01,0.1,ranking,diagonal,l2,124.823,348.254,0.0189509,0.00491803,0.0368852,0.0844262,0.343443,610
0.01,0.1,softmax,translation,dot,12.8826,161.134,0.134448,0.0893443,0.219672,0.22459,0.708197,610
0.01,0.1,softmax,translation,l2,12.7367,342.836,0.0236565,0.0122951,0.0377049,0.0786885,0.362295,610
0.01,0.1,softmax,diagonal,dot,12.9416,214.201,0.0319171,0.0122951,0.0606557,0.0786885,0.561475,610
0.01,0.1,softmax,diagonal,l2,12.77,382.012,0.0099476,0.00163934,0.0213115,0.0401639,0.295902,610
0.01,0.001,ranking,translation,dot,81.3595,189.093,0.113487,0.0647541,0.212295,0.221311,0.630328,610
0.01,0.001,ranking,translation,l2,97.8174,238.397,0.0817193,0.0483607,0.145082,0.263934,0.536066,610
0.01,0.001,ranking,diagonal,dot,102.185,250.671,0.0199854,0.00901639,0.0295082,0.0614754,0.513115,610
0.01,0.001,ranking,diagonal,l2,122.174,340.451,0.0214175,0.00655738,0.0368852,0.0877049,0.386066,610
0.01,0.001,softmax,translation,dot,102.192,254.807,0.0208717,0.00901639,0.0303279,0.057377,0.507377,610
0.01,0.001,softmax,translation,l2,12.9466,165.877,0.120851,0.0713115,0.218852,0.227049,0.686885,610
0.01,0.001,softmax,diagonal,dot,12.7324,337.55,0.0255031,0.0147541,0.0385246,0.0934426,0.381967,610
0.01,0.001,softmax,diagonal,l2,13.0188,243.953,0.0176837,0.00737705,0.0286885,0.0467213,0.515574,610
0.01,1e-05,ranking,translation,dot,12.6992,362.416,0.0119207,0.00327869,0.0237705,0.0385246,0.330328,610
0.01,1e-05,ranking,translation,l2,86.54,157.807,0.117758,0.0672131,0.216393,0.234426,0.702459,610
0.01,1e-05,ranking,diagonal,dot,103.844,296.165,0.0201946,0.00655738,0.0344262,0.109016,0.45,610
0.01,1e-05,ranking,diagonal,l2,102.176,218.361,0.0196474,0.00737705,0.0270492,0.042623,0.564754,610
0.01,1e-05,softmax,translation,dot,105.27,317.896,0.0164802,0.00491803,0.0286885,0.0680328,0.392623,610
0.01,1e-05,softmax,translation,l2,12.4237,158.396,0.119682,0.0754098,0.213115,0.228689,0.713934,610
0.01,1e-05,softmax,diagonal,dot,12.535,388.88,0.0138988,0.00737705,0.0196721,0.0319672,0.285246,610
0.01,1e-05,softmax,diagonal,l2,125.701,354.952,0.0229885,0.00819672,0.0409836,0.0901639,0.333607,610
0.001,0.1,ranking,translation,dot,12.5025,221.248,0.0205039,0.0106557,0.0213115,0.0418033,0.568852,610
0.001,0.1,ranking,translation,l2,12.5298,382.273,0.00779457,0,0.0204918,0.0385246,0.296721,610
0.001,0.1,ranking,diagonal,dot,86.5883,157.106,0.119242,0.0713115,0.218852,0.230328,0.703279,610
0.001,0.1,ranking,diagonal,l2,103.831,297.929,0.023827,0.0122951,0.0352459,0.0983607,0.443443,610
0.001,0.1,softmax,translation,dot,102.193,234.975,0.0198507,0.0106557,0.0229508,0.0368852,0.533607,610
0.001,0.1,softmax,translation,l2,105.691,328.236,0.0146329,0.0057377,0.0270492,0.0688525,0.380328,610
0.001,0.1,softmax,diagonal,dot,12.4231,163.471,0.115446,0.0704918,0.218033,0.230328,0.69918,610
0.001,0.1,softmax,diagonal,l2,12.5358,389.244,0.0142849,0.00655738,0.0196721,0.0319672,0.288525,610
0.001,0.001,ranking,translation,dot,12.5027,199.18,0.02174,0.00737705,0.0286885,0.0991803,0.595082,610
0.001,0.001,ranking,translation,l2,12.5298,378.414,0.00818607,0,0.0204918,0.0418033,0.317213,610
0.001,0.001,ranking,diagonal,dot,11.9329,127.495,0.122919,0.0754098,0.215574,0.231148,0.736885,610
0.001,0.001,ranking,diagonal,l2,86.6565,158.78,0.116944,0.0655738,0.220492,0.234426,0.685246,610
0.001,0.001,softmax,translation,dot,103.51,291.565,0.0246787,0.0114754,0.0327869,0.113115,0.442623,610
0.001,0.001,softmax,translation,l2,102.159,241.891,0.0194276,0.00819672,0.0303279,0.042623,0.521311,610
0.001,0.001,softmax,diagonal,dot,105.482,324.669,0.0136454,0.00327869,0.0221311,0.052459,0.412295,610
0.001,0.001,softmax,diagonal,l2,12.4239,155.73,0.121714,0.0737705,0.215574,0.234426,0.716393,610
0.001,1e-05,ranking,translation,dot,12.5334,383.771,0.0162512,0.00901639,0.0196721,0.0368852,0.304918,610
0.001,1e-05,ranking,translation,l2,12.5025,203.669,0.0216234,0.00983607,0.0245902,0.0918033,0.591803,610
0.001,1e-05,ranking,diagonal,dot,12.5342,392.357,0.0113608,0.00491803,0.0196721,0.0368852,0.271311,610
0.001,1e-05,ranking,diagonal,l2,103.39,179.878,0.119614,0.0729508,0.213115,0.242623,0.659016,610
0.001,1e-05,softmax,translation,dot,105.135,362.59,0.0356066,0.0139344,0.0770492,0.170492,0.367213,610
0.001,1e-05,softmax,translation,l2,12.7591,356.309,0.0249148,0.0122951,0.0418033,0.0803279,0.336885,610
0.001,1e-05,softmax,diagonal,dot,103.712,188.495,0.0297668,0.0122951,0.0393443,0.184426,0.590164,610
0.001,1e-05,softmax,diagonal,l2,106.336,396.011,0.0157436,0.00819672,0.0221311,0.0483607,0.281148,610
0.0001,0.1,ranking,translation,dot,12.5057,192.873,0.131023,0.0868852,0.212295,0.240164,0.665574,610
0.0001,0.1,ranking,translation,l2,12.5091,362.256,0.0278924,0.00901639,0.0647541,0.159836,0.371311,610
0.0001,0.1,ranking,diagonal,dot,12.5063,202.302,0.0266049,0.0122951,0.0344262,0.134426,0.589344,610
0.0001,0.1,ranking,diagonal,l2,12.5113,394.069,0.0141994,0.00655738,0.0245902,0.05,0.287705,610
0.0001,0.1,softmax,translation,dot,103.394,187.326,0.116653,0.0688525,0.212295,0.246721,0.64918,610
0.0001,0.1,softmax,translation,l2,104.977,356.458,0.0327291,0.0114754,0.0754098,0.171311,0.381967,610
