batch_size,num_batch_negs,num_uniform_negs,loss,pos_rank,mrr,r1,r10,r50,auc,count
500,10,10,78.3326,195.231,0.225804,0.189769,0.287129,0.370462,0.604785,606
500,10,50,104.201,278.249,0.234736,0.206271,0.273927,0.320132,0.481848,606
500,10,100,60.6027,98.8655,0.257548,0.217822,0.320957,0.49835,0.762376,606
500,10,250,69.9271,155.961,0.234039,0.189769,0.307756,0.429868,0.680693,606
500,10,500,82.5427,216.512,0.249335,0.220297,0.297855,0.368812,0.587459,606
500,50,10,93.3416,249.252,0.238144,0.210396,0.288779,0.341584,0.538779,606
500,50,50,101.624,260.429,0.244489,0.214521,0.292079,0.337459,0.514026,606
500,50,100,56.519,78.5734,0.25197,0.20297,0.327558,0.542904,0.786304,606
500,50,250,60.4171,103.878,0.242126,0.19802,0.319307,0.491749,0.773102,606
500,50,500,66.3097,139.454,0.2491,0.207921,0.310231,0.455446,0.685644,606
500,100,10,79.6254,202.526,0.248448,0.211221,0.313531,0.391914,0.60231,606
500,100,50,91.7672,244.384,0.228035,0.192244,0.293729,0.344059,0.547855,606
500,100,100,102.74,278.146,0.243339,0.210396,0.287129,0.326733,0.490099,606
500,100,250,55.4362,74.3259,0.249897,0.19802,0.334983,0.55033,0.79538,606
500,100,500,60.9264,106.618,0.229887,0.180693,0.320957,0.481023,0.74835,606
500,250,10,64.6482,128.708,0.226445,0.177393,0.304455,0.452145,0.726898,606
500,250,50,74.0368,176.309,0.24339,0.207921,0.29703,0.408416,0.632013,606
500,250,100,86.0037,221.859,0.254642,0.221947,0.301155,0.361386,0.585809,606
500,250,250,75.9851,185.586,0.269061,0.237624,0.312706,0.410891,0.626238,606
500,250,500,99.62,281.135,0.234816,0.19967,0.29703,0.331683,0.489274,606
500,500,10,98.3612,281.359,0.219544,0.188944,0.264851,0.320957,0.45462,606
500,500,50,98.2917,284.774,0.242924,0.218647,0.281353,0.320132,0.497525,606
500,500,100,103.562,287.186,0.249397,0.213696,0.309406,0.331683,0.459571,606
500,500,250,59.0538,96.5421,0.274476,0.231023,0.344059,0.542079,0.737624,606
500,500,500,78.1981,193.653,0.240447,0.207096,0.292904,0.396865,0.59571,606
1000,10,10,89.1998,247.045,0.23878,0.206271,0.291254,0.35066,0.531353,606
1000,10,50,93.2954,251.028,0.245189,0.216172,0.292904,0.358086,0.540429,606
1000,10,100,93.4155,252.159,0.247018,0.218647,0.282178,0.355611,0.513201,606
1000,10,250,59.9264,95.6782,0.247315,0.20132,0.309406,0.535479,0.767327,606
1000,10,500,67.3512,138.823,0.238536,0.198845,0.296205,0.467822,0.662541,606
1000,50,10,77.7499,190.712,0.220615,0.182343,0.278053,0.410891,0.625413,606
