batch_size,num_batch_negs,num_uniform_negs,loss,pos_rank,mrr,r1,r10,r50,auc,count
500,10,10,11.742,261.598,0.214606,0.187925,0.251701,0.287415,0.506803,588
500,10,50,12.0445,315.769,0.207418,0.184524,0.247449,0.272109,0.391156,588
500,10,100,11.1275,59.8223,0.226823,0.17517,0.289966,0.613095,0.840136,588
500,10,250,11.5264,194.341,0.20647,0.177721,0.248299,0.335034,0.62415,588
500,10,500,11.718,260.185,0.208932,0.179422,0.253401,0.310374,0.528912,588
500,50,10,11.9813,306.286,0.218001,0.193027,0.255102,0.285714,0.411565,588
500,50,50,12.0492,315.68,0.196033,0.170068,0.25085,0.278061,0.409014,588
500,50,100,11.005,61.0026,0.225901,0.176871,0.295918,0.60119,0.846939,588
500,50,250,11.2538,80.1267,0.219725,0.171769,0.293367,0.54932,0.80102,588
500,50,500,11.4803,175.747,0.23011,0.20068,0.267857,0.346088,0.670068,588
500,100,10,11.6985,258.568,0.211506,0.183673,0.264456,0.313776,0.511054,588
500,100,50,11.9412,281.936,0.208503,0.172619,0.260204,0.310374,0.468537,588
500,100,100,12.1443,316.384,0.187276,0.155612,0.238946,0.278061,0.412415,588
500,100,250,10.9799,63.0221,0.229509,0.178571,0.303571,0.583333,0.82398,588
500,100,500,11.1575,66.3257,0.224515,0.17517,0.287415,0.57398,0.843537,588
500,250,10,11.2557,84.9626,0.232152,0.186224,0.296769,0.531463,0.808673,588
500,250,50,11.5608,211.034,0.18697,0.14966,0.251701,0.332483,0.583333,588
500,250,100,11.7716,273.92,0.19039,0.157313,0.241497,0.288265,0.458333,588
500,250,250,11.748,242.373,0.199235,0.170918,0.246599,0.303571,0.530612,588
500,250,500,11.9998,307.088,0.189416,0.159864,0.251701,0.284864,0.422619,588
500,500,10,12.0553,270.759,0.215257,0.183673,0.259354,0.335034,0.479592,588
500,500,50,12.0605,271.448,0.227717,0.19898,0.264456,0.327381,0.454082,588
500,500,100,12.2112,313.827,0.191625,0.159014,0.244048,0.289966,0.409014,588
500,500,250,11.3343,76.9855,0.222592,0.170918,0.30017,0.579932,0.836735,588
500,500,500,11.7459,241.665,0.203007,0.164116,0.258503,0.327381,0.532313,588
1000,10,10,11.824,282.529,0.198976,0.164966,0.257653,0.30102,0.462585,588
1000,10,50,11.9446,295.231,0.204779,0.17517,0.261905,0.288265,0.442177,588
1000,10,100,12.0069,271.038,0.216527,0.185374,0.267007,0.340986,0.462585,588
1000,10,250,11.1986,66.9345,0.21984,0.164966,0.297619,0.602891,0.84949,588
1000,10,500,11.5726,186.427,0.20863,0.173469,0.261054,0.360544,0.610544,588
1000,50,10,11.7083,235.128,0.205116,0.170918,0.253401,0.357143,0.555272,588
1000,50,50,11.8887,261.718,0.226154,0.196429,0.27381,0.339286,0.5,588
