batch_size,num_batch_negs,num_uniform_negs,loss,pos_rank,mrr,r1,r10,r50,auc,count
500,10,10,12.5079,346.093,0.071301,0.0383333,0.136667,0.219167,0.411667,600
500,10,50,12.5197,364.281,0.0615182,0.0283333,0.129167,0.204167,0.3675,600
500,10,100,12.497,78.765,0.123916,0.0583333,0.239167,0.540833,0.716667,600
500,10,250,12.504,296.648,0.0814132,0.0475,0.1525,0.229167,0.523333,600
500,10,500,12.5084,348.182,0.0694438,0.0333333,0.150833,0.213333,0.42,600
500,50,10,12.5154,363.04,0.0597091,0.0333333,0.11,0.205833,0.355833,600
500,50,50,12.5206,367.648,0.0538693,0.0283333,0.104167,0.190833,0.321667,600
500,50,100,12.4947,55.93,0.131788,0.0616667,0.2525,0.603333,0.751667,600
500,50,250,12.4993,141.976,0.109163,0.0566667,0.213333,0.388333,0.681667,600
500,50,500,12.5031,273.814,0.0858563,0.0558333,0.145833,0.235,0.5375,600
500,100,10,12.5087,351.772,0.0705202,0.04,0.135,0.2175,0.424167,600
500,100,50,12.514,361.598,0.0587784,0.0283333,0.12,0.215833,0.365833,600
500,100,100,12.524,367.256,0.0551555,0.0308333,0.104167,0.191667,0.315833,600
500,100,250,12.4941,54.4192,0.127749,0.065,0.246667,0.586667,0.774167,600
500,100,500,12.4974,83.3333,0.141245,0.0825,0.254167,0.504167,0.7225,600
500,250,10,12.4999,168.953,0.105279,0.0575,0.1925,0.35,0.659167,600
500,250,50,12.5051,318.237,0.0788939,0.0441667,0.151667,0.224167,0.490833,600
500,250,100,12.5098,356.724,0.061116,0.0308333,0.126667,0.216667,0.393333,600
500,250,250,12.5092,347.751,0.0328383,0.0108333,0.0691667,0.205833,0.416667,600
500,250,500,12.5195,374.016,0.0295306,0.0133333,0.0516667,0.160833,0.331667,600
500,500,10,12.5207,373.155,0.0289455,0.0125,0.05,0.155833,0.331667,600
500,500,50,12.5213,373.398,0.0311884,0.015,0.0541667,0.1525,0.325,600
500,500,100,12.5267,366.343,0.0535528,0.0241667,0.109167,0.1875,0.338333,600
500,500,250,12.5016,136.287,0.0570665,0.0175,0.1125,0.3975,0.675833,600
500,500,500,12.5096,350.593,0.0328264,0.00833333,0.0658333,0.209167,0.39,600
1000,10,10,12.5134,363.716,0.0351868,0.0158333,0.0641667,0.19,0.349167,600
1000,10,50,12.5175,369.534,0.0331626,0.0133333,0.0591667,0.171667,0.348333,600
1000,10,100,12.519,367.682,0.0407248,0.02,0.0725,0.176667,0.333333,600
1000,10,250,12.4993,73.19,0.0663098,0.0158333,0.146667,0.55,0.733333,600
1000,10,500,12.5058,293.955,0.0407966,0.0175,0.0775,0.2275,0.479167,600
1000,50,10,12.5096,352.853,0.0391558,0.015,0.0775,0.214167,0.37,600
1000,50,50,12.5142,362.682,0.0420554,0.0208333,0.0666667,0.193333,0.321667,600
1000,50,100,12.5175,369.628,0.0300319,0.0108333,0.0625,0.1675,0.325833,600
1000,50,250,12.529,374.126,0.0407866,0.0183333,0.0766667,0.161667,0.328333,600
1000,50,500,12.4975,58.1458,0.0627759,0.0108333,0.144167,0.571667,0.750833,600
1000,100,10,12.5018,146.455,0.0509018,0.0125,0.1075,0.369167,0.694167,600
1000,100,50,12.5049,263.752,0.0418424,0.0158333,0.0808333,0.244167,0.57,600
1000,100,100,12.5172,369.125,0.0367308,0.0166667,0.0633333,0.178333,0.3225,600
1000,100,250,12.5097,351.017,0.0342659,0.0108333,0.065,0.204167,0.385833,600
1000,100,500,12.4996,77.5058,0.0667608,0.0158333,0.143333,0.541667,0.740833,600
1000,250,10,12.5205,371.191,0.0289918,0.0125,0.0483333,0.156667,0.325833,600
1000,250,50,12.5134,362.445,0.0366307,0.0158333,0.0633333,0.199167,0.325833,600
1000,250,100,12.4967,56.5008,0.0615188,0.00833333,0.144167,0.58,0.748333,600
1000,250,250,12.4999,85.99,0.0624049,0.0141667,0.1425,0.526667,0.713333,600
1000,250,500,12.5023,165.988,0.0510086,0.0141667,0.0983333,0.340833,0.654167,600
1000,500,10,12.5067,317.075,0.0413673,0.0191667,0.0783333,0.218333,0.464167,600
1000,500,50,12.5102,354.027,0.031142,0.0075,0.0683333,0.2075,0.375833,600
1000,500,100,12.4992,139.257,0.0987253,0.0441667,0.2025,0.38,0.704167,600
1000,500,250,12.5089,344.142,0.0387259,0.015,0.0833333,0.209167,0.386667,600
1000,500,500,12.5176,372.041,0.0313238,0.0133333,0.0575,0.175833,0.320833,600
1500,10,10,12.5191,367.921,0.0394315,0.0183333,0.0675,0.181667,0.321667,600
1500,10,50,12.5206,373.351,0.024135,0.00833333,0.0466667,0.1525,0.313333,600
1500,10,100,12.521,371.773,0.0267558,0.01,0.0483333,0.1475,0.3075,600
1500,10,250,12.5016,142.526,0.0549027,0.0158333,0.1175,0.386667,0.685,600
1500,10,500,12.5092,345.493,0.037308,0.0133333,0.0825,0.209167,0.404167,600
1500,50,10,12.5132,362.396,0.0280338,0.00666667,0.06,0.196667,0.343333,600
1500,50,50,12.5173,368.494,0.0324444,0.0116667,0.0575,0.179167,0.305,600
1500,50,100,12.5191,370.591,0.0289942,0.0108333,0.055,0.1725,0.334167,600
1500,50,250,12.5081,348.332,0.074368,0.0466667,0.125833,0.22,0.4075,600
1500,50,500,12.5057,293.022,0.0375476,0.0125,0.0783333,0.221667,0.495833,600
1500,100,10,12.5094,351.084,0.0363988,0.0116667,0.0833333,0.211667,0.391667,600
1500,100,50,12.5146,364.79,0.0322774,0.0125,0.0608333,0.186667,0.3125,600
1500,100,100,12.5171,366.09,0.0290243,0.00833333,0.06,0.176667,0.350833,600
1500,100,250,12.4973,57.5725,0.0641606,0.0116667,0.141667,0.576667,0.7525,600
1500,100,500,12.5018,149.068,0.0566674,0.0175,0.114167,0.379167,0.678333,600
1500,250,10,12.5047,262.103,0.0408312,0.01,0.09,0.254167,0.534167,600
1500,250,50,12.5097,348.543,0.0351789,0.0116667,0.075,0.213333,0.3975,600
1500,250,100,12.5134,362.572,0.0386074,0.0191667,0.07,0.190833,0.346667,600
1500,250,250,12.5134,360.822,0.0667802,0.0358333,0.13,0.21,0.360833,600
1500,250,500,12.4966,55.6742,0.0636443,0.0125,0.14,0.5875,0.765,600
1500,500,10,12.4999,84.655,0.0563911,0.0075,0.128333,0.505833,0.748333,600
1500,500,50,12.5023,166.637,0.0506026,0.0175,0.100833,0.335,0.685833,600
1500,500,100,12.5065,308.848,0.0372748,0.0116667,0.0858333,0.224167,0.500833,600
1500,500,250,12.5102,354.331,0.0388246,0.0133333,0.08,0.201667,0.3875,600
1500,500,500,12.5093,347.317,0.03015,0.0075,0.0683333,0.208333,0.400833,600
2000,10,10,12.5172,368.669,0.0310277,0.0116667,0.0583333,0.180833,0.325833,600
2000,10,50,12.5192,371.296,0.0393778,0.0191667,0.0716667,0.1675,0.34,600
2000,10,100,12.5212,372.728,0.0311992,0.0141667,0.0558333,0.149167,0.311667,600
2000,10,250,12.5205,365.409,0.0483,0.0225,0.0941667,0.1975,0.358333,600
2000,10,500,12.5017,139.343,0.0575248,0.0183333,0.12,0.388333,0.698333,600
2000,50,10,12.5095,350.955,0.0368608,0.0133333,0.0733333,0.206667,0.394167,600
2000,50,50,12.5133,362.909,0.0276426,0.00916667,0.0541667,0.195833,0.354167,600
2000,50,100,12.5178,369.378,0.0347298,0.0125,0.0691667,0.18,0.31,600
2000,50,250,12.5194,372.613,0.0285616,0.0116667,0.0516667,0.164167,0.315833,600
2000,50,500,12.4991,70.3492,0.0694675,0.0191667,0.143333,0.5525,0.7675,600
2000,100,10,12.5058,291.759,0.0383999,0.0158333,0.0808333,0.233333,0.5,600
2000,100,50,12.5094,348.898,0.0390126,0.0183333,0.0658333,0.2075,0.411667,600
2000,100,100,12.5148,367.649,0.0362662,0.0175,0.0691667,0.188333,0.303333,600
2000,100,250,12.5176,372.988,0.0390892,0.0208333,0.0625,0.17,0.326667,600
2000,100,500,12.5242,368.962,0.0551233,0.0308333,0.0925,0.180833,0.324167,600
2000,250,10,12.4973,56.6333,0.0667171,0.0125,0.140833,0.59,0.765,600
2000,250,50,12.5017,139.674,0.0534948,0.0116667,0.1225,0.398333,0.6875,600
2000,250,100,12.5048,260.043,0.037028,0.00916667,0.0725,0.235,0.53,600
