batch_size,num_batch_negs,num_uniform_negs,loss,pos_rank,mrr,r1,r10,r50,auc,count
500,10,10,12.5055,352.499,0.0723374,0.0439469,0.125207,0.199834,0.417081,603
500,10,50,12.5164,365.77,0.0667871,0.0381426,0.120232,0.179934,0.345771,603
500,10,100,12.4944,84.6542,0.111642,0.0563847,0.205638,0.509121,0.749585,603
500,10,250,12.5017,308.119,0.0849151,0.0580431,0.130182,0.197347,0.493367,603
500,10,500,12.5057,352.197,0.0709268,0.039801,0.125207,0.197347,0.420398,603
500,50,10,12.5121,362.396,0.0757594,0.0464345,0.121891,0.193201,0.353234,603
500,50,50,12.5171,366.371,0.0712924,0.0464345,0.110282,0.184909,0.318408,603
500,50,100,12.4926,67.7206,0.114198,0.0522388,0.206468,0.565506,0.782753,603
500,50,250,12.497,151.025,0.108288,0.0638474,0.172471,0.343284,0.68325,603
500,50,500,12.5004,271.26,0.0806241,0.0505804,0.127695,0.220564,0.562189,603
500,100,10,12.5057,354.089,0.084411,0.0605307,0.126866,0.197347,0.42869,603
500,100,50,12.5106,362.338,0.0749412,0.0456053,0.127695,0.197347,0.362355,603
500,100,100,12.5205,368.444,0.0661155,0.039801,0.112769,0.180763,0.329187,603
500,100,250,12.4915,66.0124,0.132273,0.0729685,0.21476,0.563018,0.766998,603
500,100,500,12.4951,90.4395,0.113958,0.0638474,0.195688,0.491708,0.771144,603
500,250,10,12.4975,165.796,0.100137,0.0655058,0.15257,0.300166,0.679934,603
500,250,50,12.5021,312.511,0.082538,0.0547264,0.129353,0.201493,0.491708,603
500,250,100,12.5069,360.162,0.0668025,0.0364842,0.12272,0.199834,0.386401,603
500,250,250,12.5066,347.405,0.0572192,0.0323383,0.0903814,0.190713,0.407131,603
500,250,500,12.5168,374.659,0.0411872,0.0190713,0.0721393,0.155058,0.318408,603
500,500,10,12.5176,371.178,0.0451635,0.0199005,0.0903814,0.165837,0.321725,603
500,500,50,12.5182,370.579,0.0489852,0.0290216,0.0779436,0.158375,0.31675,603
500,500,100,12.523,368.045,0.06315,0.0356551,0.108624,0.176617,0.321725,603
500,500,250,12.4994,146.284,0.0649259,0.0273632,0.116086,0.350746,0.729685,603
500,500,500,12.5069,352.532,0.0561084,0.0315091,0.0920398,0.186567,0.424544,603
1000,10,10,12.5107,363.793,0.0517214,0.0273632,0.0870647,0.18325,0.3466,603
1000,10,50,12.5144,368.146,0.0504853,0.0298507,0.0804312,0.177446,0.330017,603
1000,10,100,12.5161,370.259,0.0466438,0.0215589,0.0903814,0.169983,0.333333,603
1000,10,250,12.4971,82.4395,0.0755797,0.0281924,0.134328,0.522388,0.767828,603
1000,10,500,12.5034,293.975,0.0505606,0.026534,0.0837479,0.196517,0.507463,603
1000,50,10,12.5072,351.919,0.0449163,0.0207297,0.0812604,0.186567,0.424544,603
1000,50,50,12.5122,368.94,0.0553915,0.0323383,0.092869,0.181592,0.31675,603
1000,50,100,12.5147,369.444,0.0568543,0.0364842,0.0903814,0.169983,0.3267,603
