batch_size,num_batch_negs,num_uniform_negs,loss,pos_rank,mrr,r1,r10,r50,auc,count
500,10,10,12.5055,366.584,0.0456916,0.0247117,0.07743,0.181219,0.396211,607
500,10,50,12.5177,386.968,0.0550669,0.0370675,0.0799012,0.166392,0.26771,607
500,10,100,12.494,68.7306,0.104984,0.0617792,0.158979,0.529654,0.763591,607
500,10,250,12.5013,302.937,0.0701717,0.0510708,0.0955519,0.20346,0.494234,607
500,10,500,12.5061,370.896,0.0467465,0.0288303,0.0757825,0.180395,0.350906,607
500,50,10,12.5136,386.437,0.0564464,0.0411862,0.0716639,0.172158,0.308896,607
500,50,50,12.5179,386.122,0.0445584,0.0280066,0.0700165,0.166392,0.29654,607
500,50,100,12.492,51.7084,0.127427,0.0823723,0.1771,0.596376,0.791598,607
500,50,250,12.4967,145.318,0.088122,0.0543657,0.135914,0.356672,0.680395,607
500,50,500,12.5005,283.064,0.0537649,0.0321252,0.0840198,0.205931,0.510708,607
500,100,10,12.5071,377.965,0.0500967,0.0337727,0.0650741,0.182043,0.354201,607
500,100,50,12.5117,383.561,0.0445322,0.0271829,0.068369,0.179572,0.294069,607
500,100,100,12.5217,388.315,0.0460344,0.0280066,0.0741351,0.158979,0.278418,607
500,100,250,12.4908,55.0346,0.122934,0.0799012,0.174629,0.552718,0.768534,607
500,100,500,12.4944,74.7776,0.109042,0.0601318,0.180395,0.531301,0.735585,607
500,250,10,12.4972,156.54,0.0795027,0.0461285,0.125206,0.308896,0.657331,607
500,250,50,12.5019,322.31,0.0640721,0.0444811,0.0914333,0.19028,0.462932,607
500,250,100,12.5068,373.017,0.0510421,0.0337727,0.0741351,0.181219,0.368204,607
500,250,250,12.5069,367.502,0.0308015,0.0164745,0.0420099,0.165568,0.364909,607
500,250,500,12.5173,393.527,0.0358385,0.023888,0.0494234,0.129325,0.280066,607
500,500,10,12.5189,396.718,0.0302324,0.0197694,0.0370675,0.118616,0.304778,607
500,500,50,12.5195,394.878,0.0303576,0.0197694,0.0420099,0.126853,0.295717,607
500,500,100,12.5249,388.525,0.0500758,0.0329489,0.0749588,0.153213,0.292422,607
500,500,250,12.4989,130.886,0.0459728,0.0140033,0.0733114,0.385502,0.677101,607
500,500,500,12.5071,369.876,0.0294783,0.0156507,0.0411862,0.168863,0.344316,607
