batch_size,num_batch_negs,num_uniform_negs,loss,pos_rank,mrr,r1,r10,r50,auc,count
500,10,10,12.5052,360.733,0.0513769,0.0305281,0.0907591,0.20462,0.408416,606
500,10,50,12.5179,379.105,0.0511898,0.0338284,0.0792079,0.178218,0.310231,606
500,10,100,12.4934,68.9909,0.0936062,0.0470297,0.140264,0.519802,0.740099,606
500,10,250,12.5006,296.787,0.0579158,0.0363036,0.0882838,0.220297,0.508251,606
500,10,500,12.5054,360.509,0.0544921,0.0354785,0.0767327,0.207921,0.412541,606
500,50,10,12.513,375.356,0.0454987,0.0288779,0.0635314,0.20297,0.324257,606
500,50,50,12.5181,378.186,0.0473601,0.029703,0.0684818,0.184818,0.299505,606
500,50,100,12.4914,51.5017,0.112171,0.0684818,0.165017,0.573432,0.747525,606
500,50,250,12.4961,143.277,0.0699215,0.029703,0.14604,0.370462,0.686469,606
500,50,500,12.5,274.361,0.0666628,0.0429043,0.099835,0.227723,0.533828,606
500,100,10,12.5065,363.047,0.0410769,0.0173267,0.0750825,0.207921,0.377063,606
500,100,50,12.5117,374.136,0.0534879,0.0363036,0.0767327,0.207096,0.356436,606
500,100,100,12.5222,380.972,0.052607,0.0330033,0.080033,0.174092,0.282178,606
500,100,250,12.4902,50.0074,0.113696,0.0643564,0.181518,0.591584,0.791254,606
500,100,500,12.4937,74.4431,0.119031,0.0759076,0.183168,0.528878,0.756601,606
500,250,10,12.4964,152.596,0.0593383,0.0173267,0.129538,0.368812,0.65264,606
500,250,50,12.5012,313.889,0.0796417,0.0618812,0.099835,0.208746,0.510726,606
500,250,100,12.5064,366.058,0.0430507,0.0222772,0.0767327,0.208746,0.39769,606
500,250,250,12.5064,354.873,0.0285597,0.0148515,0.040429,0.19802,0.405116,606
500,250,500,12.5171,384.898,0.0257179,0.0132013,0.039604,0.148515,0.291254,606
500,500,10,12.5189,387.371,0.0261584,0.0165017,0.0330033,0.129538,0.29868,606
500,500,50,12.5196,388.456,0.0273639,0.0156766,0.0363036,0.131188,0.29703,606
500,500,100,12.5254,383.961,0.0429713,0.0239274,0.0717822,0.15264,0.286304,606
500,500,250,12.4985,124.101,0.0553708,0.0231023,0.0792079,0.419142,0.711221,606
500,500,500,12.5067,358.098,0.0300841,0.0156766,0.0346535,0.193069,0.368812,606
1000,10,10,12.5108,376.416,0.0309546,0.019802,0.0338284,0.174092,0.322607,606
1000,10,50,12.5152,382.888,0.0249864,0.0132013,0.040429,0.151815,0.283003,606
1000,10,100,12.5172,385.239,0.0276548,0.0156766,0.0379538,0.141914,0.309406,606
1000,10,250,12.4961,68.1749,0.0535299,0.0140264,0.0957096,0.54703,0.734323,606
1000,10,500,12.503,292.292,0.0249812,0.00907591,0.0321782,0.209571,0.490099,606
1000,50,10,12.5068,359.649,0.0284062,0.0123762,0.0412541,0.194719,0.377063,606
1000,50,50,12.5123,378.232,0.0238569,0.0123762,0.0313531,0.177393,0.308581,606
1000,50,100,12.5153,383.233,0.028838,0.0181518,0.0354785,0.14934,0.301155,606
1000,50,250,12.5269,382.813,0.0467369,0.0313531,0.0693069,0.158416,0.314356,606
1000,50,500,12.494,53.4546,0.0576393,0.0165017,0.0957096,0.601485,0.773927,606
1000,100,10,12.4989,144.67,0.0440656,0.0156766,0.0610561,0.370462,0.663366,606
1000,100,50,12.5021,271.869,0.028746,0.0123762,0.0346535,0.229373,0.521452,606
1000,100,100,12.5152,384.115,0.0256974,0.0115512,0.0387789,0.153465,0.311056,606
1000,100,250,12.5077,366.696,0.0253411,0.0123762,0.0321782,0.192244,0.358086,606
1000,100,500,12.4961,64.3828,0.0527935,0.0132013,0.0849835,0.554455,0.764026,606
1000,250,10,12.5187,387.068,0.0278572,0.0148515,0.039604,0.134488,0.275578,606
1000,250,50,12.5115,378.446,0.0360539,0.0231023,0.0387789,0.178218,0.301155,606
1000,250,100,12.4928,47.9794,0.0630499,0.0181518,0.108911,0.633663,0.745875,606
1000,250,250,12.4963,70.0743,0.0630073,0.0214521,0.099835,0.556931,0.75,606
1000,250,500,12.4989,145.853,0.0395976,0.0132013,0.0544554,0.360561,0.686469,606
1000,500,10,12.5034,305.716,0.0259125,0.0115512,0.0264026,0.207921,0.486799,606
1000,500,50,12.5076,368.482,0.0255325,0.00990099,0.0420792,0.192244,0.349835,606
1000,500,100,12.4959,130.885,0.0770934,0.039604,0.142739,0.386139,0.683993,606
1000,500,250,12.5066,358.665,0.0314881,0.0173267,0.0354785,0.195545,0.388614,606
1000,500,500,12.5152,385.855,0.0295643,0.0173267,0.0412541,0.150165,0.30033,606
1500,10,10,12.5177,387.342,0.0276505,0.0165017,0.0379538,0.137789,0.29703,606
1500,10,50,12.5189,388.167,0.0264987,0.0140264,0.039604,0.139439,0.294554,606
1500,10,100,12.5194,388.719,0.0300279,0.0189769,0.0420792,0.126238,0.306931,606
1500,10,250,12.4987,137.003,0.0433851,0.0123762,0.0750825,0.386964,0.688944,606
1500,10,500,12.507,361.461,0.0277345,0.0140264,0.0321782,0.198845,0.394389,606
1500,50,10,12.5111,379.031,0.0251193,0.0115512,0.0346535,0.165017,0.329208,606
1500,50,50,12.5151,383.06,0.0279112,0.0140264,0.0379538,0.160066,0.275578,606
1500,50,100,12.5173,386.42,0.0302543,0.0181518,0.0412541,0.139439,0.273102,606
1500,50,250,12.5053,358.392,0.0532242,0.0346535,0.0783828,0.206271,0.408416,606
1500,50,500,12.5029,288.855,0.0262323,0.0115512,0.0247525,0.221947,0.49835,606
1500,100,10,12.5067,357.109,0.0314043,0.0165017,0.0462046,0.20132,0.375413,606
