batch_size,num_batch_negs,num_uniform_negs,loss,pos_rank,mrr,r1,r10,r50,auc,count
500,10,10,12.5047,365.726,0.0531504,0.0307167,0.0998294,0.168942,0.382253,586
500,10,50,12.517,390.394,0.0331645,0.0119454,0.0733788,0.136519,0.300341,586
500,10,100,12.4934,68.7594,0.100442,0.0460751,0.19198,0.540102,0.759386,586
500,10,250,12.5009,313.868,0.0524306,0.0273038,0.108362,0.18686,0.466724,586
500,10,500,12.5055,373.218,0.0405755,0.0162116,0.0947099,0.168089,0.370307,586
500,50,10,12.5122,386.003,0.0441659,0.0238908,0.0853242,0.156143,0.30802,586
500,50,50,12.5172,389.293,0.043863,0.0255973,0.0733788,0.139932,0.295222,586
500,50,100,12.4911,53.1382,0.0990752,0.0409556,0.206485,0.588737,0.795222,586
500,50,250,12.496,141.186,0.0910838,0.0520478,0.164676,0.353242,0.699659,586
500,50,500,12.4996,275.27,0.0623103,0.0383959,0.100683,0.209044,0.523038,586
500,100,10,12.5053,368.325,0.0500664,0.0273038,0.0921502,0.165529,0.37372,586
500,100,50,12.5108,384.057,0.0423799,0.0213311,0.0793515,0.156997,0.296928,586
500,100,100,12.5201,388.951,0.0461045,0.0238908,0.0887372,0.133959,0.280717,586
500,100,250,12.4902,52.2056,0.0936852,0.0392491,0.195392,0.596416,0.784983,586
500,100,500,12.494,80.9275,0.0901108,0.0358362,0.188567,0.509386,0.757679,586
500,250,10,12.4968,171.59,0.0607912,0.0179181,0.139078,0.3157,0.654437,586
500,250,50,12.5015,324.757,0.064515,0.0409556,0.108362,0.188567,0.445392,586
500,250,100,12.506,371.54,0.0554066,0.028157,0.104949,0.174061,0.364334,586
500,250,250,12.5053,364.362,0.0330641,0.0136519,0.0656997,0.15529,0.37372,586
500,250,500,12.5159,393.869,0.026047,0.00853242,0.052901,0.119454,0.285836,586
500,500,10,12.5171,391.719,0.0297411,0.0127986,0.0554608,0.113481,0.299488,586
500,500,50,12.5178,392.343,0.0247655,0.0119454,0.0443686,0.112628,0.283276,586
500,500,100,12.5233,390.285,0.0403747,0.0238908,0.0631399,0.127986,0.290956,586
500,500,250,12.4975,125.56,0.0567496,0.0187713,0.108362,0.365188,0.687713,586
500,500,500,12.5055,366.763,0.0295946,0.0110922,0.052901,0.156143,0.372014,586
1000,10,10,12.5098,387.182,0.0305997,0.0119454,0.0580205,0.139078,0.289249,586
1000,10,50,12.5137,391.796,0.0276745,0.00938567,0.0537543,0.119454,0.264505,586
1000,10,100,12.5158,392.505,0.0310223,0.0136519,0.0537543,0.119454,0.285836,586
1000,10,250,12.4954,73.2014,0.0559275,0.00853242,0.111775,0.53157,0.761092,586
1000,10,500,12.5021,305.768,0.0323057,0.0127986,0.0520478,0.183447,0.448805,586
1000,50,10,12.5061,374.269,0.0296709,0.00938567,0.059727,0.151024,0.346416,586
1000,50,50,12.5111,389.451,0.0299052,0.0162116,0.0520478,0.130546,0.294369,586
1000,50,100,12.5136,390.181,0.030953,0.0153584,0.052901,0.125427,0.287543,586
1000,50,250,12.5253,395.105,0.0349083,0.0196246,0.0622867,0.116894,0.253413,586
1000,50,500,12.4928,52.349,0.0678536,0.0119454,0.149317,0.598123,0.785836,586
1000,100,10,12.4978,142.976,0.0500193,0.0110922,0.102389,0.366041,0.668942,586
1000,100,50,12.5008,263.737,0.0371382,0.0110922,0.0674061,0.209044,0.523038,586
1000,100,100,12.5137,391.002,0.0278682,0.00938567,0.0631399,0.131399,0.263652,586
1000,100,250,12.5059,370.522,0.0347473,0.0179181,0.0639932,0.156143,0.346416,586
1000,100,500,12.4951,69.4573,0.0677308,0.0196246,0.145904,0.536689,0.773891,586
1000,250,10,12.5175,394.712,0.0259605,0.0110922,0.0469283,0.119454,0.271331,586
1000,250,50,12.5098,385.174,0.0318107,0.0136519,0.0665529,0.143345,0.316553,586
1000,250,100,12.4921,53.0529,0.0698952,0.0196246,0.142491,0.578498,0.788396,586
