epochs,dimensions,loss,pos_rank,mrr,r1,r10,r50,auc,count
50,50,103.657,163.365,0.197972,0.146481,0.278232,0.310966,0.704583,611
50,100,103.536,152.895,0.191176,0.136661,0.278232,0.326514,0.720949,611
50,200,101.286,156.285,0.195992,0.146481,0.288871,0.308511,0.689034,611
50,400,97.8132,152.19,0.202567,0.149755,0.285597,0.310966,0.687398,611
100,50,102.628,174.808,0.189335,0.13748,0.284779,0.301964,0.651391,611
100,100,101.292,160.264,0.196612,0.150573,0.285597,0.301146,0.695581,611
100,200,97.8337,157.677,0.185731,0.135843,0.277414,0.305237,0.689034,611
100,400,88.5585,151.521,0.164583,0.10802,0.274141,0.304419,0.708674,611
200,50,103.29,151.419,0.18856,0.135843,0.274141,0.319967,0.716858,611
200,100,102.74,146.841,0.178043,0.11784,0.278232,0.326514,0.707038,611
200,200,103.537,167.421,0.212292,0.171849,0.285597,0.303601,0.703764,611
200,400,103.287,162.753,0.200506,0.153846,0.283142,0.305237,0.663666,611
400,50,102.708,156.028,0.196687,0.148118,0.278232,0.315876,0.708674,611
400,100,101.378,148.302,0.19817,0.145663,0.286416,0.323241,0.725041,611
400,200,103.267,175.903,0.175633,0.126841,0.278232,0.301146,0.646481,611
400,400,102.699,163.88,0.183299,0.133388,0.273322,0.306874,0.701309,611
