epochs,dimensions,loss,pos_rank,mrr,r1,r10,r50,auc,count
50,50,60.5503,103.304,0.262425,0.211697,0.35173,0.523888,0.775947,607
50,100,59.3813,111.48,0.274302,0.21911,0.377265,0.536244,0.738056,607
50,200,56.1524,108.414,0.27525,0.222405,0.382208,0.537891,0.738056,607
50,400,58.2059,128.079,0.289985,0.235585,0.38056,0.505766,0.714168,607
100,50,61.615,110.791,0.254451,0.204283,0.346787,0.498353,0.768534,607
100,100,58.3464,102.449,0.278655,0.226524,0.369028,0.543657,0.770181,607
100,200,56.2841,107.49,0.285112,0.229819,0.377265,0.546129,0.773476,607
100,400,57.0669,121.75,0.280449,0.217463,0.39374,0.515651,0.733937,607
200,50,58.3234,116.448,0.276437,0.221582,0.374794,0.531301,0.728995,607
200,100,58.1667,128.289,0.279555,0.219934,0.397035,0.518946,0.726524,607
200,200,60.449,102.809,0.263168,0.211697,0.359143,0.519769,0.76771,607
200,400,59.0515,109.408,0.286643,0.23888,0.369028,0.526359,0.744646,607
400,50,56.285,110.155,0.30592,0.259473,0.385502,0.534596,0.75453,607
400,100,57.342,123.393,0.293893,0.240527,0.389621,0.524712,0.742175,607
400,200,59.6535,99.0297,0.265012,0.211697,0.360791,0.532125,0.769357,607
400,400,56.8044,98.6392,0.274022,0.216639,0.382208,0.543657,0.759473,607
epochs,dimensions,loss,pos_rank,mrr,r1,r10,r50,auc,count
50,50,62.1154,108.304,0.271702,0.222682,0.350166,0.510762,0.753311,604
50,100,59.052,104.964,0.278985,0.233444,0.346854,0.514073,0.745861,604
50,200,57.1666,110.367,0.299753,0.25,0.376656,0.525662,0.739238,604
50,400,57.0841,116.167,0.268767,0.209437,0.368377,0.529801,0.729305,604
100,50,59.7847,97.7078,0.260969,0.211921,0.333609,0.515728,0.778146,604
100,100,58.7335,105.673,0.280945,0.235099,0.353477,0.535596,0.735099,604
100,200,56.8675,108.788,0.269136,0.207781,0.370861,0.549669,0.74255,604
100,400,56.4239,115.171,0.28491,0.232616,0.370033,0.520695,0.734272,604
200,50,57.1552,114.128,0.290324,0.235927,0.376656,0.531457,0.711093,604
200,100,55.8167,112.409,0.27084,0.207781,0.380795,0.514073,0.725993,604
200,200,59.7184,99.1763,0.292171,0.247517,0.36755,0.52649,0.736755,604
200,400,58.5424,105.219,0.278723,0.230132,0.365066,0.520695,0.756623,604
400,50,58.4231,113.767,0.275965,0.224338,0.350993,0.524007,0.750828,604
400,100,55.8508,112.433,0.291314,0.237583,0.389073,0.540563,0.747517,604
400,200,59.8595,101.039,0.282758,0.24255,0.339404,0.528974,0.779801,604
400,400,58.2432,104.156,0.270941,0.220199,0.354305,0.547185,0.759106,604
epochs,dimensions,loss,pos_rank,mrr,r1,r10,r50,auc,count
50,50,61.4298,109.573,0.271167,0.219595,0.353885,0.51098,0.749155,592
50,100,56.7223,97.8184,0.294865,0.247466,0.368243,0.550676,0.772804,592
50,200,54.841,101.932,0.29325,0.236486,0.394426,0.559966,0.754223,592
50,400,51.4632,99.4611,0.298106,0.233108,0.416385,0.565878,0.742399,592
100,50,59.4145,98.6706,0.266194,0.213682,0.347973,0.538851,0.749155,592
100,100,56.7881,99.1377,0.282628,0.228041,0.380912,0.543919,0.764358,592
100,200,52.4822,93.7145,0.317828,0.26098,0.413851,0.578547,0.750845,592
100,400,50.3333,92.0051,0.3118,0.259291,0.398649,0.577703,0.771115,592
200,50,54.5958,101.447,0.295097,0.23902,0.396959,0.558277,0.722973,592
200,100,55.4997,112.447,0.288386,0.235642,0.390203,0.538007,0.724662,592
200,200,59.0906,95.4324,0.265009,0.211149,0.366554,0.541385,0.774493,592
200,400,57.7414,102.227,0.283486,0.232264,0.361486,0.532939,0.743243,592
400,50,55.6755,106.5,0.291017,0.234797,0.389358,0.546453,0.736486,592
400,100,55.1013,113.429,0.286734,0.232264,0.388514,0.527872,0.739865,592
400,200,60.2925,103.06,0.25157,0.197635,0.341216,0.519426,0.759291,592
400,400,58.2463,105.534,0.284704,0.23902,0.361486,0.528716,0.755912,592
