epochs,dimensions,loss,pos_rank,mrr,r1,r10,r50,auc,count
50,50,103.473,150.751,0.156804,0.0939044,0.253707,0.357496,0.700165,607
50,100,103.32,142.076,0.1581,0.0980231,0.253707,0.366557,0.748764,607
50,200,101.067,137.968,0.153932,0.100494,0.228995,0.320428,0.758649,607
50,400,100.028,154.376,0.145764,0.0897858,0.224053,0.30972,0.710049,607
100,50,102.107,163.814,0.156641,0.0980231,0.247117,0.291598,0.700988,607
100,100,100.878,142.527,0.156252,0.0930807,0.251236,0.328666,0.753707,607
100,200,98.6846,153.654,0.150057,0.0955519,0.223229,0.290774,0.728995,607
100,400,96.2879,138.922,0.16101,0.102142,0.252883,0.292422,0.722405,607
200,50,103.06,133.915,0.167442,0.105437,0.26112,0.403624,0.755354,607
200,100,102.563,132.275,0.165923,0.10626,0.255354,0.385502,0.730643,607
200,200,103.293,144.159,0.161475,0.102142,0.247117,0.341845,0.728171,607
200,400,102.975,148.283,0.16773,0.114498,0.247941,0.342669,0.735585,607
400,50,102.365,132.449,0.162653,0.102142,0.249588,0.361614,0.746293,607
400,100,101.618,146.318,0.151105,0.102142,0.222405,0.342669,0.724053,607
400,200,102.929,151.535,0.158799,0.0971993,0.249588,0.303954,0.716639,607
400,400,102.279,152.208,0.16114,0.10626,0.251236,0.308896,0.711697,607
