epochs,dimensions,loss,pos_rank,mrr,r1,r10,r50,auc,count
50,50,12.5107,362.181,0.0715094,0.0403624,0.132619,0.191928,0.367381,607
50,100,12.5122,362.832,0.0950323,0.0584843,0.168863,0.202636,0.350906,607
50,200,12.5255,370.042,0.0259828,0.00823723,0.0453048,0.188633,0.295717,607
50,400,12.5321,363.42,0.0228063,0.00411862,0.0527183,0.205931,0.308072,607
100,50,12.5189,375.999,0.0245916,0.0107084,0.0436573,0.128501,0.311367,607
100,100,12.5252,375.903,0.0169437,0.00494234,0.023888,0.149094,0.287479,607
100,200,12.5327,370.355,0.0165326,0.00494234,0.0189456,0.172982,0.280066,607
100,400,12.5439,369.91,0.0165776,0.00247117,0.0271829,0.179572,0.282537,607
200,50,12.5152,366.938,0.0933833,0.0527183,0.180395,0.209226,0.33855,607
200,100,12.518,361.409,0.106037,0.0642504,0.186985,0.214992,0.35173,607
200,200,12.5122,365.279,0.053783,0.0247117,0.103789,0.169687,0.359143,607
200,400,12.5155,367.701,0.059812,0.0321252,0.108731,0.199341,0.331137,607
400,50,12.519,364.835,0.0647474,0.0362438,0.112026,0.202636,0.346787,607
400,100,12.5243,364.836,0.0587232,0.0313015,0.115321,0.213344,0.353377,607
400,200,12.516,375.772,0.0346679,0.0172982,0.0543657,0.147446,0.314662,607
400,400,12.5193,369.886,0.0272448,0.00988468,0.0518946,0.164745,0.320428,607
epochs,dimensions,loss,pos_rank,mrr,r1,r10,r50,auc,count
50,50,12.5072,358.104,0.0706741,0.0385906,0.137584,0.19547,0.339765,596
50,100,12.5087,361.108,0.0971922,0.0562081,0.178691,0.208893,0.347315,596
50,200,12.5215,366.178,0.0258935,0.0100671,0.0469799,0.199664,0.318792,596
50,400,12.5288,362.202,0.0268095,0.00755034,0.045302,0.218121,0.341443,596
100,50,12.5155,371.797,0.0304923,0.0176174,0.0436242,0.139262,0.307886,596
100,100,12.521,373.01,0.0204519,0.00755034,0.0285235,0.152685,0.28943,596
100,200,12.5289,370.122,0.0211053,0.00755034,0.0268456,0.174497,0.292785,596
100,400,12.5392,364.041,0.0212893,0.00587248,0.034396,0.197148,0.278523,596
200,50,12.5112,361.505,0.110803,0.0746644,0.181208,0.213926,0.347315,596
200,100,12.5144,361.627,0.118028,0.0780201,0.194631,0.217282,0.380872,596
200,200,12.5092,363.473,0.0575388,0.0285235,0.111577,0.182047,0.329698,596
200,400,12.5118,363.358,0.0584988,0.0310403,0.114933,0.203859,0.361577,596
400,50,12.5152,362.811,0.0645434,0.0385906,0.109899,0.208893,0.334732,596
400,100,12.5197,361.688,0.0625325,0.0302013,0.136745,0.218121,0.354027,596
400,200,12.5119,367.657,0.0380737,0.0209732,0.0587248,0.147651,0.328859,596
400,400,12.5161,367.068,0.0269736,0.0100671,0.0427852,0.176174,0.308725,596
epochs,dimensions,loss,pos_rank,mrr,r1,r10,r50,auc,count
50,50,12.5095,358.815,0.0823443,0.0489396,0.151713,0.199837,0.341762,613
50,100,12.511,359.979,0.101429,0.0595432,0.176183,0.213703,0.349918,613
50,200,12.524,363.503,0.0281983,0.0114192,0.0473083,0.199021,0.309135,613
50,400,12.5313,360.468,0.0287149,0.0106036,0.045677,0.218597,0.333605,613
100,50,12.518,376.175,0.0255652,0.0138662,0.0342577,0.116639,0.300979,613
100,100,12.5245,377.096,0.0230234,0.00978793,0.0358891,0.144372,0.28956,613
100,200,12.5316,369.907,0.0188513,0.00734095,0.0212072,0.165579,0.299347,613
100,400,12.542,364.479,0.022203,0.00815661,0.0285481,0.193312,0.322186,613
200,50,12.5134,359.285,0.119938,0.0823817,0.187602,0.223491,0.353181,613
200,100,12.5173,362.031,0.128604,0.0905383,0.195759,0.222675,0.360522,613
200,200,12.5118,363.288,0.0555524,0.0293638,0.0946166,0.182708,0.317292,613
200,400,12.5139,363.266,0.0597458,0.0293638,0.110114,0.209625,0.378467,613
400,50,12.5175,362.427,0.0673969,0.0415987,0.11093,0.218597,0.368679,613
400,100,12.5226,361.077,0.0568081,0.0277325,0.119902,0.223491,0.362969,613
400,200,12.515,373.667,0.0352406,0.0195759,0.0538336,0.141925,0.315661,613
400,400,12.5181,364.557,0.0281833,0.0122349,0.0473083,0.185971,0.322186,613
