epochs,dimensions,loss,pos_rank,mrr,r1,r10,r50,auc,count
50,50,12.511,364.282,0.0722663,0.0384615,0.137124,0.181438,0.346154,598
50,100,12.5124,367.74,0.0857731,0.0501672,0.157191,0.201505,0.351171,598
50,200,12.5202,369.528,0.052651,0.0284281,0.0877926,0.188127,0.355351,598
50,400,12.5248,365.402,0.0479738,0.0225753,0.0802676,0.203177,0.339465,598
100,50,12.5159,370.659,0.0430556,0.0225753,0.0710702,0.142977,0.366221,598
100,100,12.5197,369.329,0.0397869,0.0192308,0.0668896,0.175585,0.33612,598
100,200,12.5245,369.564,0.0400389,0.0183946,0.0677258,0.175585,0.301839,598
100,400,12.5321,368.839,0.0459742,0.027592,0.0643813,0.185619,0.313545,598
200,50,12.5142,368.877,0.0942286,0.0618729,0.158863,0.195652,0.37709,598
200,100,12.5163,364.282,0.0964473,0.0610368,0.16388,0.197324,0.359532,598
200,200,12.5119,362.441,0.0637091,0.0384615,0.11204,0.182274,0.346154,598
200,400,12.5136,365.806,0.0749348,0.048495,0.122074,0.193144,0.381271,598
400,50,12.5162,367.99,0.0736949,0.0426421,0.123746,0.197324,0.341973,598
400,100,12.5206,367.4,0.076527,0.0476589,0.121237,0.203177,0.350334,598
400,200,12.5142,370.54,0.0486848,0.0284281,0.0785953,0.168896,0.358696,598
400,400,12.5168,369.387,0.0442226,0.0175585,0.0802676,0.177258,0.333612,598
