epochs,dimensions,loss,pos_rank,mrr,r1,r10,r50,auc,count
50,50,103.565,120.298,0.145027,0.0819672,0.252459,0.44918,0.766393,610
50,100,103.374,115.004,0.160406,0.0991803,0.268852,0.472951,0.787705,610
50,200,99.18,134.293,0.137312,0.0868852,0.218852,0.354918,0.763115,610
50,400,96.575,128.272,0.128187,0.0721311,0.234426,0.369672,0.745082,610
100,50,101.695,132.075,0.141279,0.0803279,0.258197,0.341803,0.74918,610
100,100,99.4271,126.543,0.149558,0.0983607,0.245082,0.340984,0.727049,610
100,200,95.5669,131.963,0.132758,0.0786885,0.227869,0.344262,0.767213,610
100,400,92.7528,160.272,0.132821,0.0811475,0.236885,0.29918,0.713934,610
200,50,102.915,110.588,0.1664,0.110656,0.261475,0.457377,0.801639,610
200,100,102.06,113.484,0.158637,0.0991803,0.255738,0.481967,0.765574,610
200,200,103.333,127.846,0.137316,0.0827869,0.245082,0.357377,0.754918,610
200,400,102.847,113.637,0.162727,0.108197,0.259016,0.414754,0.790164,610
400,50,101.898,114.365,0.150314,0.0918033,0.258197,0.406557,0.787705,610
400,100,99.5587,122.72,0.149987,0.0983607,0.236066,0.413934,0.765574,610
400,200,102.819,134.805,0.1479,0.0901639,0.25082,0.353279,0.754918,610
400,400,101.788,125.691,0.158044,0.104098,0.256557,0.368852,0.769672,610
50,50,103.429,109.794,0.146594,0.0830537,0.260067,0.488255,0.77349,596
50,100,103.234,103.559,0.153273,0.0864094,0.264262,0.538591,0.811242,596
50,200,99.9665,145.44,0.122191,0.0805369,0.166107,0.366611,0.718121,596
50,400,98.7162,152.222,0.11842,0.079698,0.165268,0.322987,0.701342,596
100,50,101.633,115.561,0.1422,0.0864094,0.237416,0.384228,0.782718,596
100,100,99.6186,103.872,0.140053,0.079698,0.238255,0.424497,0.781879,596
100,200,97.6203,149.241,0.114788,0.0713087,0.166107,0.318792,0.701342,596
100,400,94.9229,141.351,0.145795,0.0964765,0.240772,0.312081,0.73406,596
200,50,102.845,101.323,0.159022,0.0922819,0.271812,0.525168,0.800336,596
200,100,102.079,99.6921,0.156113,0.0939597,0.256711,0.528523,0.787752,596
200,200,103.207,111.725,0.141567,0.0805369,0.244966,0.462248,0.776846,596
200,400,102.772,100.97,0.154088,0.100671,0.24245,0.458054,0.801174,596
400,50,101.863,104.984,0.150059,0.0872483,0.261745,0.483221,0.805369,596
400,100,100.34,148.107,0.118977,0.0713087,0.182886,0.40604,0.708893,596
400,200,102.711,118.154,0.138072,0.0771812,0.239933,0.426174,0.781879,596
400,400,101.748,107.636,0.15066,0.0973154,0.239094,0.408557,0.786074,596
50,50,103.532,120.661,0.161703,0.100334,0.278428,0.467391,0.785953,598
50,100,103.311,106.361,0.17793,0.111204,0.300167,0.523411,0.804348,598
50,200,99.2181,125.261,0.164546,0.107023,0.251672,0.409699,0.769231,598
50,400,96.1409,142.063,0.132789,0.0852843,0.213211,0.353679,0.719064,598
100,50,101.476,119.368,0.165788,0.107023,0.268395,0.376254,0.781773,598
100,100,99.0556,117.487,0.160659,0.107023,0.244983,0.376254,0.7801,598
100,200,95.0849,127.792,0.149424,0.0919732,0.242475,0.37709,0.772575,598
100,400,92.1265,161.285,0.145041,0.090301,0.266722,0.309365,0.698161,598
200,50,102.851,103.138,0.170911,0.101171,0.294314,0.532609,0.818562,598
200,100,101.77,113.529,0.176436,0.115385,0.274247,0.490803,0.770903,598
200,200,103.27,121.412,0.172989,0.115385,0.276756,0.436455,0.775084,598
200,400,102.748,119.788,0.168664,0.107023,0.27592,0.41806,0.776756,598
400,50,101.626,105.376,0.176432,0.114548,0.274247,0.480769,0.79097,598
400,100,99.3724,132.29,0.143344,0.0844482,0.233278,0.426421,0.749164,598
400,200,102.666,114.701,0.17088,0.111204,0.267559,0.404682,0.79097,598
400,400,101.523,111.241,0.169628,0.107023,0.271739,0.440635,0.790134,598
