epochs,dimensions,loss,pos_rank,mrr,r1,r10,r50,auc,count
50,50,12.5089,373.484,0.0748297,0.0520661,0.120661,0.179339,0.300826,605
50,100,12.5111,382.145,0.0684389,0.0380165,0.133058,0.187603,0.338843,605
50,200,12.523,382.74,0.0282441,0.0165289,0.0256198,0.17686,0.290909,605
50,400,12.5316,385.3,0.0249398,0.014876,0.0181818,0.182645,0.289256,605
100,50,12.5178,392.35,0.0300297,0.0214876,0.0272727,0.113223,0.27686,605
100,100,12.5232,392.788,0.0238355,0.0132231,0.0231405,0.127273,0.264463,605
100,200,12.5311,389.132,0.0241257,0.0165289,0.0198347,0.147934,0.252893,605
100,400,12.5429,388.316,0.0237443,0.014876,0.0181818,0.164463,0.226446,605
200,50,12.5134,381.387,0.0806671,0.0545455,0.126446,0.189256,0.341322,605
200,100,12.517,380.907,0.066741,0.0338843,0.13719,0.189256,0.312397,605
200,200,12.511,380.32,0.0516483,0.0338843,0.0735537,0.163636,0.309091,605
200,400,12.5136,382.822,0.0486648,0.0297521,0.0752066,0.17686,0.300826,605
400,50,12.5176,384.332,0.0438932,0.0247934,0.0636364,0.187603,0.304959,605
400,100,12.5226,385.081,0.0535435,0.0380165,0.068595,0.189256,0.298347,605
400,200,12.5137,385.686,0.0331473,0.022314,0.0396694,0.139669,0.282645,605
400,400,12.5181,388.231,0.0282397,0.0173554,0.0297521,0.154545,0.287603,605
