epochs,dimensions,loss,pos_rank,mrr,r1,r10,r50,auc,count
50,50,12.5071,372.882,0.0498152,0.0243697,0.111765,0.184874,0.331092,595
50,100,12.5088,378.267,0.0689986,0.0420168,0.130252,0.195798,0.307563,595
50,200,12.5214,383.467,0.021486,0.010084,0.0218487,0.177311,0.290756,595
50,400,12.5294,382.976,0.0255429,0.0142857,0.0210084,0.186555,0.268067,595
100,50,12.5154,389.256,0.028927,0.0218487,0.0277311,0.103361,0.297479,595
100,100,12.5215,391.424,0.020842,0.012605,0.0176471,0.12521,0.270588,595
100,200,12.5291,388.204,0.0200541,0.0117647,0.0168067,0.147899,0.247059,595
100,400,12.5402,384.429,0.0189315,0.00840336,0.0151261,0.178151,0.238655,595
200,50,12.511,377.745,0.0831541,0.0563025,0.145378,0.195798,0.347059,595
200,100,12.5148,380.099,0.0922912,0.0630252,0.153782,0.195798,0.336975,595
200,200,12.5089,378.94,0.0379161,0.0176471,0.0764706,0.165546,0.315126,595
200,400,12.5114,379.546,0.0418608,0.0235294,0.0638655,0.191597,0.326891,595
400,50,12.5153,381.863,0.051384,0.0336134,0.0697479,0.195798,0.322689,595
400,100,12.5204,381.358,0.0489823,0.0336134,0.0638655,0.197479,0.306723,595
400,200,12.5121,386.452,0.0310337,0.0193277,0.0369748,0.136975,0.271429,595
400,400,12.5156,384.976,0.0309485,0.0193277,0.0378151,0.163866,0.281513,595
epochs,dimensions,loss,pos_rank,mrr,r1,r10,r50,auc,count
50,50,12.5089,373.484,0.0748297,0.0520661,0.120661,0.179339,0.300826,605
50,100,12.5111,382.145,0.0684389,0.0380165,0.133058,0.187603,0.338843,605
50,200,12.523,382.74,0.0282441,0.0165289,0.0256198,0.17686,0.290909,605
50,400,12.5316,385.3,0.0249398,0.014876,0.0181818,0.182645,0.289256,605
100,50,12.5178,392.35,0.0300297,0.0214876,0.0272727,0.113223,0.27686,605
100,100,12.5232,392.788,0.0238355,0.0132231,0.0231405,0.127273,0.264463,605
100,200,12.5311,389.132,0.0241257,0.0165289,0.0198347,0.147934,0.252893,605
100,400,12.5429,388.316,0.0237443,0.014876,0.0181818,0.164463,0.226446,605
200,50,12.5134,381.387,0.0806671,0.0545455,0.126446,0.189256,0.341322,605
200,100,12.517,380.907,0.066741,0.0338843,0.13719,0.189256,0.312397,605
200,200,12.511,380.32,0.0516483,0.0338843,0.0735537,0.163636,0.309091,605
200,400,12.5136,382.822,0.0486648,0.0297521,0.0752066,0.17686,0.300826,605
400,50,12.5176,384.332,0.0438932,0.0247934,0.0636364,0.187603,0.304959,605
400,100,12.5226,385.081,0.0535435,0.0380165,0.068595,0.189256,0.298347,605
400,200,12.5137,385.686,0.0331473,0.022314,0.0396694,0.139669,0.282645,605
400,400,12.5181,388.231,0.0282397,0.0173554,0.0297521,0.154545,0.287603,605
epochs,dimensions,loss,pos_rank,mrr,r1,r10,r50,auc,count
50,50,12.5077,380.259,0.0641429,0.0387205,0.11532,0.174242,0.313131,594
50,100,12.5095,384.76,0.0779084,0.0530303,0.127946,0.177609,0.304714,594
50,200,12.522,388.423,0.020023,0.00925926,0.020202,0.166667,0.287879,594
50,400,12.5306,387.693,0.0190772,0.00925926,0.0126263,0.179293,0.268519,594
100,50,12.5164,391.834,0.0183895,0.010101,0.0193603,0.111111,0.263468,594
100,100,12.5226,397.043,0.0175986,0.010101,0.0151515,0.12037,0.242424,594
100,200,12.5306,393.301,0.0151608,0.00673401,0.010101,0.145623,0.244949,594
100,400,12.5421,389.71,0.016809,0.00841751,0.010101,0.166667,0.236532,594
200,50,12.5122,385.202,0.0706624,0.0429293,0.133838,0.179293,0.307239,594
200,100,12.5159,384.774,0.0731331,0.0420875,0.140572,0.179293,0.309764,594
200,200,12.5095,380.82,0.0464368,0.0311448,0.0681818,0.154882,0.341751,594
200,400,12.512,386.242,0.0378927,0.0210438,0.0572391,0.172559,0.289562,594
400,50,12.5162,386.917,0.0464679,0.0328283,0.0547138,0.177609,0.296296,594
400,100,12.5211,385.177,0.0299018,0.0117845,0.0488215,0.179293,0.289562,594
400,200,12.5122,387.803,0.0309118,0.0185185,0.0395623,0.138047,0.293771,594
400,400,12.5168,390.487,0.0225934,0.0143098,0.0159933,0.153199,0.26431,594
