epochs,dimensions,loss,pos_rank,mrr,r1,r10,r50,auc,count
50,50,12.5097,369.9,0.0537384,0.0238487,0.115132,0.177632,0.342105,608
50,100,12.5113,374.237,0.0734949,0.0386513,0.143914,0.194079,0.334704,608
50,200,12.5227,376.454,0.0356215,0.0148026,0.0682566,0.177632,0.310855,608
50,400,12.5304,375.831,0.0370251,0.0164474,0.0699013,0.194901,0.283717,608
100,50,12.5173,386.497,0.034137,0.0205592,0.0559211,0.115132,0.289474,608
100,100,12.5228,387.922,0.0336846,0.0205592,0.046875,0.125822,0.269737,608
100,200,12.5306,384.987,0.0276157,0.0115132,0.0485197,0.147204,0.26398,608
100,400,12.541,378.949,0.0318426,0.0148026,0.0501645,0.175164,0.270559,608
200,50,12.5141,373.842,0.0776351,0.0435855,0.155428,0.199836,0.32648,608
200,100,12.5179,374.516,0.0877979,0.0567434,0.157895,0.203125,0.332237,608
200,200,12.5116,376.383,0.0471422,0.0246711,0.0871711,0.152138,0.310033,608
200,400,12.5143,378.7,0.0444784,0.0164474,0.103618,0.167763,0.315789,608
400,50,12.5175,374.257,0.0597192,0.0370066,0.0995066,0.197368,0.334704,608
400,100,12.5231,375.219,0.0466278,0.0180921,0.101974,0.197368,0.323191,608
400,200,12.5143,385.128,0.0339959,0.0180921,0.0526316,0.124178,0.291118,608
400,400,12.5179,383.431,0.0361975,0.0197368,0.0600329,0.152961,0.289474,608
