epochs,dimensions,loss,pos_rank,mrr,r1,r10,r50,auc,count
50,50,103.484,138.87,0.133719,0.0782537,0.224876,0.370675,0.736409,607
50,100,103.309,122.924,0.133319,0.0741351,0.235585,0.425041,0.782537,607
50,200,100.687,118.922,0.141716,0.0897858,0.222405,0.359143,0.779242,607
50,400,100.012,144.247,0.109409,0.0634267,0.180395,0.315486,0.737232,607
100,50,101.958,127.324,0.137433,0.083196,0.221582,0.340198,0.763591,607
100,100,100.417,118.652,0.13385,0.0766063,0.222405,0.346787,0.798188,607
100,200,98.4785,131.306,0.120855,0.0741351,0.184514,0.334432,0.769357,607
100,400,95.9509,139.165,0.129941,0.07743,0.228171,0.313839,0.736409,607
200,50,103.024,111.966,0.144725,0.0807249,0.252883,0.473641,0.784185,607
200,100,102.443,112.492,0.157014,0.0988468,0.243822,0.4514,0.804778,607
200,200,103.267,122.938,0.134338,0.0749588,0.237232,0.395387,0.769357,607
200,400,102.924,120.928,0.134601,0.0782537,0.228995,0.39374,0.775124,607
400,50,102.292,118.14,0.142487,0.0864909,0.23229,0.397035,0.786656,607
400,100,101.293,135.552,0.120395,0.0716639,0.195222,0.359143,0.750412,607
400,200,102.879,132.068,0.133137,0.0782537,0.224053,0.357496,0.749588,607
400,400,102.087,123.608,0.130727,0.0757825,0.216639,0.35832,0.768534,607
50,50,103.489,125.288,0.118885,0.0622896,0.226431,0.386364,0.748316,594
50,100,103.351,121.886,0.12902,0.0681818,0.236532,0.454545,0.771886,594
50,200,101.215,122.16,0.119491,0.0690236,0.204545,0.346801,0.767677,594
50,400,100.688,149.81,0.0994222,0.0572391,0.164141,0.29798,0.706229,594
100,50,102.18,137.82,0.123729,0.0740741,0.213805,0.301347,0.73064,594
100,100,100.914,125.295,0.122861,0.0715488,0.217172,0.318182,0.766835,594
100,200,99.4343,132.141,0.111406,0.0681818,0.181818,0.307239,0.765993,594
100,400,97.8173,144.737,0.120199,0.0681818,0.212963,0.290404,0.72138,594
200,50,103.083,126.791,0.14245,0.0875421,0.234007,0.411616,0.750842,594
200,100,102.609,115.671,0.134314,0.0749158,0.240741,0.440236,0.792929,594
200,200,103.318,133.628,0.123764,0.0673401,0.22138,0.367845,0.73064,594
200,400,102.993,127.402,0.133164,0.0808081,0.213805,0.354377,0.760101,594
400,50,102.453,120.947,0.131156,0.0782828,0.223906,0.388889,0.766835,594
400,100,101.604,139.819,0.102473,0.0563973,0.174242,0.352694,0.739899,594
400,200,102.959,136.093,0.12714,0.0757576,0.223064,0.31229,0.726431,594
400,400,102.272,129.351,0.121224,0.0622896,0.220539,0.354377,0.748316,594
50,50,103.345,125.559,0.124908,0.065365,0.219015,0.396435,0.767402,589
50,100,103.188,116.357,0.146385,0.0933786,0.232598,0.452462,0.757216,589
50,200,100.54,114.061,0.1256,0.0713073,0.218166,0.36163,0.77674,589
50,400,99.3324,146.848,0.0908216,0.049236,0.151104,0.291171,0.713922,589
100,50,101.82,131.247,0.122396,0.0687606,0.217317,0.33871,0.752971,589
100,100,100.133,115.918,0.129026,0.073854,0.213073,0.352292,0.777589,589
100,200,98.0257,127.419,0.122667,0.0772496,0.186757,0.314092,0.752971,589
100,400,96.4852,152.01,0.127341,0.0780985,0.219864,0.297114,0.7309,589
200,50,102.861,107.694,0.147377,0.0925297,0.235144,0.455008,0.817487,589
200,100,102.3,111.765,0.13707,0.0797963,0.235993,0.45416,0.815789,589
200,200,103.143,116.218,0.127755,0.0704584,0.22326,0.428693,0.795416,589
200,400,102.795,116.495,0.134981,0.0772496,0.224109,0.390492,0.780985,589
400,50,102.066,111.238,0.135393,0.0831919,0.217317,0.373514,0.781834,589
400,100,100.722,112.603,0.126226,0.0713073,0.206282,0.374363,0.781834,589
400,200,102.702,126.257,0.131964,0.0840407,0.211375,0.337861,0.770798,589
400,400,101.937,118.51,0.132644,0.0780985,0.220713,0.36163,0.790323,589
