auc200,auc2000,auc4000,auc8000,iteration
0.612903,0.683871,0.70082,0.659426,1
0.741935,0.640323,0.64918,0.59918,2
0.548387,0.640323,0.631148,0.62541,3
0.370968,0.498387,0.47623,0.478689,4
0.693548,0.65,0.713115,0.681557,5
0.66129,0.516129,0.532787,0.529508,6
0.677419,0.593548,0.62623,0.632377,7
0.516129,0.467742,0.459836,0.472131,8
0.580645,0.654839,0.668033,0.652869,9
0.596774,0.6,0.62541,0.614344,10
0.596774,0.633871,0.639344,0.608607,11
0.483871,0.504839,0.494262,0.518852,12
0.516129,0.619355,0.628689,0.603279,13
0.693548,0.714516,0.70082,0.665984,14
0.516129,0.487097,0.533607,0.534016,15
0.66129,0.629032,0.613934,0.635656,16
0.419355,0.472581,0.481148,0.475,17
0.725806,0.666129,0.690984,0.691803,18
0.532258,0.570968,0.590164,0.554098,19
0.451613,0.51129,0.507377,0.502459,20
0.725806,0.675806,0.702459,0.671721,21
0.290323,0.469355,0.477869,0.489754,22
0.403226,0.45,0.510656,0.470902,23
0.629032,0.703226,0.654098,0.679508,24
0.5,0.435484,0.460656,0.445902,25
0.645161,0.698387,0.684426,0.677459,26
0.532258,0.556452,0.540164,0.546721,27
0.66129,0.637097,0.640164,0.607377,28
0.435484,0.480645,0.511475,0.487295,29
0.693548,0.691935,0.668033,0.657787,30
0.451613,0.425806,0.472131,0.515574,31
0.774194,0.622581,0.654918,0.686066,32
0.419355,0.46129,0.472131,0.45041,33
0.725806,0.762903,0.767213,0.741393,34
0.677419,0.659677,0.671311,0.671721,35
0.451613,0.546774,0.559836,0.570902,36
0.709677,0.616129,0.610656,0.579508,37
0.612903,0.677419,0.661475,0.59959,38
0.354839,0.475806,0.518852,0.508197,39
0.774194,0.735484,0.717213,0.716803,40
0.693548,0.695161,0.677869,0.672541,41
0.370968,0.425806,0.492623,0.509426,42
0.725806,0.635484,0.672951,0.640164,43
0.354839,0.441935,0.45,0.42459,44
0.709677,0.722581,0.718033,0.688525,45
0.306452,0.495161,0.498361,0.516393,46
0.564516,0.496774,0.527049,0.498361,47
0.725806,0.675806,0.7,0.733607,48
0.435484,0.445161,0.458197,0.452049,49
0.758065,0.733871,0.7,0.693852,50
0.306452,0.474194,0.497541,0.505738,51
0.806452,0.662903,0.665574,0.727459,52
0.370968,0.417742,0.45082,0.435246,53
0.806452,0.706452,0.718852,0.704918,54
0.387097,0.483871,0.459016,0.501639,55
0.725806,0.701613,0.705738,0.709016,56
0.370968,0.451613,0.439344,0.452459,57
0.645161,0.575806,0.62623,0.634016,58
0.370968,0.482258,0.504918,0.521311,59
0.790323,0.667742,0.662295,0.717213,60
0.370968,0.425806,0.463115,0.436885,61
0.822581,0.732258,0.697541,0.708197,62
0.354839,0.467742,0.49918,0.518852,63
0.709677,0.674194,0.690164,0.711885,64
0.387097,0.403226,0.481148,0.460656,65
0.693548,0.741935,0.721311,0.679508,66
0.370968,0.46129,0.531967,0.52418,67
0.564516,0.432258,0.471311,0.370902,68
0.709677,0.667742,0.662295,0.706557,69
0.403226,0.412903,0.462295,0.459836,70
0.596774,0.679032,0.703279,0.648361,71
0.645161,0.608065,0.686885,0.633607,72
0.758065,0.691935,0.709836,0.637295,73
0.629032,0.58871,0.613115,0.544262,74
0.709677,0.716129,0.706557,0.688525,75
0.5,0.545161,0.603279,0.577459,76
0.790323,0.769355,0.788525,0.737295,77
0.516129,0.469355,0.503279,0.484836,78
0.645161,0.706452,0.668852,0.642213,79
0.741935,0.720968,0.715574,0.696311,80
0.5,0.496774,0.530328,0.490164,81
0.83871,0.741935,0.753279,0.717213,82
0.419355,0.433871,0.512295,0.503689,83
0.693548,0.654839,0.646721,0.614754,84
